name,seed,season,target,n,median_abs,zero_median_fraction,crps,zero_crps
pathogen_gated_nw0.2_rev0,42,2023-2024,nhsn_covid_admissions,724,0.0,1.0,601.9364637266328,601.9364640883978
pathogen_gated_nw0.2_rev0,42,2023-2024,nhsn_flu_admissions,624,0.0,1.0,153.83653161040843,153.83653846153845
pathogen_gated_nw0.2_rev0,42,2023-2024,nhsn_rsv_admissions,225,0.0,1.0,0.8977764819057031,0.8977777777777778
pathogen_gated_nw0.2_rev0,42,2023-2024,nssp_covid_proportion,1196,0.004713749629445374,0.0,0.013503373047083081,0.01892633783303195
pathogen_gated_nw0.2_rev0,42,2023-2024,nssp_flu_proportion,936,0.00465990009251982,0.0,0.0086259802992883,0.013242735043449156
pathogen_gated_nw0.2_rev0,42,2023-2024,nssp_rsv_proportion,676,0.0010105178807862103,0.0,0.0033403151379421164,0.0044974852158411955
pathogen_gated_nw0.2_rev0,42,2025-2026,nhsn_covid_admissions,832,0.0,1.0,180.59253721393912,180.59254807692307
pathogen_gated_nw0.2_rev0,42,2025-2026,nhsn_flu_admissions,624,0.0,1.0,141.85736615143597,141.8573717948718
pathogen_gated_nw0.2_rev0,42,2025-2026,nhsn_rsv_admissions,624,0.0,1.0,71.63461407181603,71.63461538461539
pathogen_gated_nw0.2_rev0,42,2025-2026,nssp_covid_proportion,1196,0.010386876296252012,0.0,0.004788877450071437,0.005390301011963148
pathogen_gated_nw0.2_rev0,42,2025-2026,nssp_flu_proportion,1040,0.005173906916752458,0.0,0.01101266945776073,0.01565807695525599
pathogen_gated_nw0.2_rev0,42,2025-2026,nssp_rsv_proportion,936,0.0008561710856156424,0.0,0.0018411293664014835,0.0025377136766747623
pathogen_gated_nw0.2_rev0,42,2024-2025,nhsn_covid_admissions,819,0.0,1.0,243.33088777734397,243.33089133089132
pathogen_gated_nw0.2_rev0,42,2024-2025,nhsn_flu_admissions,720,0.0,1.0,279.36388044704523,279.3638888888889
pathogen_gated_nw0.2_rev0,42,2024-2025,nhsn_rsv_admissions,565,0.0,1.0,51.7663702102143,51.766371681415926
pathogen_gated_nw0.2_rev0,42,2024-2025,nssp_covid_proportion,1196,0.01059054397046566,0.0,0.0034189313676120264,0.008698745842341312
pathogen_gated_nw0.2_rev0,42,2024-2025,nssp_flu_proportion,1040,0.005185357644222677,0.0,0.013490267734330421,0.0178285577713513
pathogen_gated_nw0.2_rev0,42,2024-2025,nssp_rsv_proportion,832,0.001334121625404805,0.0,0.0017638858872190283,0.0032278846226920276
pathogen_gated_nw0.2_rev0,43,2023-2024,nhsn_covid_admissions,1038,0.0,1.0,729.5626201840983,729.5626204238921
pathogen_gated_nw0.2_rev0,43,2023-2024,nhsn_flu_admissions,620,0.0,1.0,179.32257621301272,179.32258064516128
pathogen_gated_nw0.2_rev0,43,2023-2024,nhsn_rsv_admissions,60,0.0,1.0,6.816660657229824,6.816666666666666
pathogen_gated_nw0.2_rev0,43,2023-2024,nssp_covid_proportion,1456,0.004787777434103191,0.0,0.008539157252116538,0.012973557718166606
pathogen_gated_nw0.2_rev0,43,2023-2024,nssp_flu_proportion,520,0.0028566561522893608,0.0,0.016841299549448126,0.020287115407182473
pathogen_gated_nw0.2_rev0,43,2023-2024,nssp_rsv_proportion,416,0.0008677970618009567,0.0,0.0025988158489991084,0.003356249996159022
pathogen_gated_nw0.2_rev0,43,2025-2026,nhsn_covid_admissions,1040,0.0,1.0,200.36826345827652,200.36826923076924
pathogen_gated_nw0.2_rev0,43,2025-2026,nhsn_flu_admissions,676,0.0,1.0,284.50442492782514,284.5044378698225
pathogen_gated_nw0.2_rev0,43,2025-2026,nhsn_rsv_admissions,624,0.0,1.0,18.610569172517014,18.610576923076923
pathogen_gated_nw0.2_rev0,43,2025-2026,nssp_covid_proportion,1456,0.009489083429798484,0.0,0.005036172218072122,0.0038309752875558024
pathogen_gated_nw0.2_rev0,43,2025-2026,nssp_flu_proportion,728,0.004280446795746684,0.0,0.00788156292077434,0.01193186817958981
pathogen_gated_nw0.2_rev0,43,2025-2026,nssp_rsv_proportion,676,0.0009141697955783457,0.0,0.0019051530285952468,0.0024693787024353325
pathogen_gated_nw0.2_rev0,43,2024-2025,nhsn_covid_admissions,1031,0.0,1.0,344.6973796821736,344.6973811833172
pathogen_gated_nw0.2_rev0,43,2024-2025,nhsn_flu_admissions,720,0.0,1.0,717.801384057266,717.8013888888889
pathogen_gated_nw0.2_rev0,43,2024-2025,nhsn_rsv_admissions,417,0.0,1.0,10.82732718981479,10.827338129496402
pathogen_gated_nw0.2_rev0,43,2024-2025,nssp_covid_proportion,1456,0.006255372310988605,0.0,0.0024982549816291335,0.007366414861540501
pathogen_gated_nw0.2_rev0,43,2024-2025,nssp_flu_proportion,832,0.004138194490224123,0.0,0.016628597264396097,0.019167668313754733
pathogen_gated_nw0.2_rev0,43,2024-2025,nssp_rsv_proportion,676,0.0015581301413476467,0.0,0.0016853745634907466,0.0035421597803980747
pathogen_gated_nw0.2_rev0,44,2023-2024,nhsn_covid_admissions,1344,0.0,1.0,665.462053332847,665.4620535714286
