name,seed,geography,combined,backbone,form,nw_weight,rev
target_gated_nw0.1_rev0.5,44,all,0.871286246787192,target,gated,0.1,0.5
target_gated_nw0.1_rev0.5,45,all,0.9674661480316123,target,gated,0.1,0.5
target_gated_nw0.1_rev0.5,46,all,0.9829610919204287,target,gated,0.1,0.5
target_gated_nw0.2_rev0,42,all,0.9653088939424536,target,gated,0.2,0.0
target_gated_nw0.2_rev0,43,all,0.9473668802834975,target,gated,0.2,0.0
target_gated_nw0.2_rev0,44,all,1.0018429717544812,target,gated,0.2,0.0
target_gated_nw0.2_rev0,45,all,0.9714937556668991,target,gated,0.2,0.0
target_gated_nw0.2_rev0,46,all,1.0055348583117756,target,gated,0.2,0.0
target_gated_nw0.2_rev0.5,42,all,0.8999103249014938,target,gated,0.2,0.5
target_gated_nw0.2_rev0.5,43,all,0.8865987590888041,target,gated,0.2,0.5
target_gated_nw0.2_rev0.5,44,all,0.8174212052398091,target,gated,0.2,0.5
target_gated_nw0.2_rev0.5,45,all,0.9277533042465272,target,gated,0.2,0.5
target_gated_nw0.2_rev0.5,46,all,0.9478337801208508,target,gated,0.2,0.5
target_two_nw0.1_rev0,42,all,1.3607988746986865,target,two_stage,0.1,0.0
target_two_nw0.1_rev0,43,all,1.1325785250150895,target,two_stage,0.1,0.0
target_two_nw0.1_rev0,44,all,1.020753630013217,target,two_stage,0.1,0.0
target_two_nw0.1_rev0,45,all,1.0841109650054417,target,two_stage,0.1,0.0
target_two_nw0.1_rev0,46,all,1.0452668062682726,target,two_stage,0.1,0.0
target_two_nw0.1_rev0.5,42,all,0.9773444245772848,target,two_stage,0.1,0.5
target_two_nw0.1_rev0.5,43,all,0.9514864068987077,target,two_stage,0.1,0.5
target_two_nw0.1_rev0.5,44,all,1.0172873983384727,target,two_stage,0.1,0.5
target_two_nw0.1_rev0.5,45,all,1.0980892468813934,target,two_stage,0.1,0.5
target_two_nw0.1_rev0.5,46,all,0.9965311990636413,target,two_stage,0.1,0.5
target_two_nw0.2_rev0,42,all,1.0957507870094603,target,two_stage,0.2,0.0
target_two_nw0.2_rev0,43,all,1.1157875001386044,target,two_stage,0.2,0.0
target_two_nw0.2_rev0,44,all,0.9550121337957197,target,two_stage,0.2,0.0
target_two_nw0.2_rev0,45,all,1.119462512987603,target,two_stage,0.2,0.0
target_two_nw0.2_rev0,46,all,1.0602545162738437,target,two_stage,0.2,0.0
target_two_nw0.2_rev0.5,42,all,1.004683425087596,target,two_stage,0.2,0.5
target_two_nw0.2_rev0.5,43,all,1.0475260102508017,target,two_stage,0.2,0.5
target_two_nw0.2_rev0.5,44,all,1.0108983151823152,target,two_stage,0.2,0.5
target_two_nw0.2_rev0.5,45,all,0.9098885098562598,target,two_stage,0.2,0.5
target_two_nw0.2_rev0.5,46,all,1.0465817594116629,target,two_stage,0.2,0.5
