name,seed,stress,recent_kind,horizon,scaled_crps,scaled_mae,scaled_report_ae,coverage_50,coverage_95,scaled_zero_crps,near_zero_median
pathogen_C_nw0.1_rev0.5,42,recent,revision,-1,0.022477066304476337,0.027903467019558013,0.03057755755018006,0.7301428096974835,0.9498361713758842,0.2895152578541457,0.017958435659232323
pathogen_C_nw0.1_rev0.5,43,gap,artificial_reconstruction,-2,0.0982689662661319,0.0934985479573967,,0.4666666666666666,0.6825396825396824,0.6155522143343406,0.12698412698412698
pathogen_C_nw0.1_rev0.5,43,gap,artificial_reconstruction,-1,0.15537491721549898,0.20299895708761195,,0.38888888888888884,0.7777777777777777,0.5721890193423632,0.0
pathogen_C_nw0.1_rev0.5,43,gap,revision,-2,0.04709807804382913,0.0635515690433353,0.017748238923116545,0.41567014676621983,0.8524123233291349,0.28299654885579373,0.019677043565966182
pathogen_C_nw0.1_rev0.5,43,gap,revision,-1,0.023955772675138955,0.031173824980014534,0.027200065238877854,0.5412225443688409,0.9264969717630077,0.2634990747794748,0.022439486638735753
pathogen_C_nw0.1_rev0.5,43,natural,revision,-2,0.047127934294917406,0.06360047460771602,0.01774716688873809,0.41543015186234716,0.8519434595995953,0.28301248731651457,0.019662435523001977
pathogen_C_nw0.1_rev0.5,43,natural,revision,-1,0.023956803898522852,0.031180504352520576,0.02720025100752463,0.5410821171847554,0.9267358517592283,0.26351801274502556,0.022426537393857655
pathogen_C_nw0.1_rev0.5,43,outage,artificial_reconstruction,-2,0.30666616127406826,0.31558687245372735,,0.15207847748152759,0.20757576281541423,0.3334138182097191,0.666666666666667
pathogen_C_nw0.1_rev0.5,43,outage,artificial_reconstruction,-1,0.30677263328903176,0.3149568846578673,,0.13812948917925413,0.1891404861706433,0.33128544153352163,0.666666666666667
pathogen_C_nw0.1_rev0.5,43,outage,revision,-2,0.04677536130911369,0.06345090670515248,0.01759717367899601,0.4167088121946405,0.8631579603857028,0.2829794970826613,0.018290464635116317
pathogen_C_nw0.1_rev0.5,43,outage,revision,-1,0.024246780374392738,0.031837069601382946,0.02690874014440774,0.5430693265991396,0.9357397204375256,0.25927336729640366,0.02117994455080688
pathogen_C_nw0.1_rev0.5,43,recent,artificial_reconstruction,-2,0.05294941339155917,0.07213884301487303,,0.507333800710707,0.8872523932131777,0.3423153270714519,0.09440739588016277
pathogen_C_nw0.1_rev0.5,43,recent,artificial_reconstruction,-1,0.06949989859100682,0.0918029476376393,,0.3724206364451974,0.7655834795602878,0.3328932042035048,0.09492781097104223
pathogen_C_nw0.1_rev0.5,43,recent,revision,-2,0.0425634392122935,0.056684496277427186,0.01750806502522399,0.4940605155324173,0.8869319395519074,0.28255498451274114,0.017872448660607065
pathogen_C_nw0.1_rev0.5,43,recent,revision,-1,0.024475968779490376,0.03194802529964385,0.0259376442934888,0.5595100804572524,0.9218206624029626,0.25447581899862043,0.01976608076825942
pathogen_C_nw0.1_rev0.5,44,gap,artificial_reconstruction,-2,0.12674623976971588,0.15993371639023599,,0.35000000000000003,0.75,0.35981308038923304,0.08333333333333333
pathogen_C_nw0.1_rev0.5,44,gap,artificial_reconstruction,-1,0.08759513260996883,0.103377168670091,,0.48253968253968255,0.8031746031746031,0.22618724127958487,0.19047619047619047
