name,stress,kind,crps,coverage_50,coverage_95,cells
target_C_nw0.2_rev0,recent,revision,16.90181696317292,0.5265046367120788,0.8788224364572961,179761
target_C_nw0.2_rev0.5,recent,artificial_reconstruction,21.176739001620437,0.3896225381549119,0.7723599160634075,118661
target_C_nw0.2_rev0.5,recent,revision,16.534051859193525,0.5419251116760587,0.8848248507740833,179761
target_gated_nw0.1_rev0,recent,artificial_reconstruction,17.93942037915043,0.47419961065556504,0.8520238325987477,118661
target_gated_nw0.1_rev0,recent,revision,7.080172956438827,0.4965648833729229,0.8609987705898388,179761
target_gated_nw0.1_rev0.5,recent,artificial_reconstruction,18.247717419229332,0.4643480166187711,0.8502203756920976,118661
target_gated_nw0.1_rev0.5,recent,revision,7.469967998996928,0.5103276016488559,0.865226606438549,179761
target_gated_nw0.2_rev0,recent,artificial_reconstruction,18.868716591873206,0.46895778731006815,0.8438577123064865,118661
target_gated_nw0.2_rev0,recent,revision,7.206964834849508,0.4843931664821624,0.852648794788636,179761
target_gated_nw0.2_rev0.5,recent,artificial_reconstruction,19.045144409395697,0.45862583325608247,0.8403013627055225,118661
target_gated_nw0.2_rev0.5,recent,revision,7.371371800846561,0.5083972608074054,0.8652599840899862,179761
target_two_nw0.1_rev0,recent,artificial_reconstruction,20.81744473303646,0.32518687690142506,0.6374293154448386,118661
target_two_nw0.1_rev0,recent,revision,8.627825162736535,0.5752360078103704,0.8814982115141772,179761
target_two_nw0.1_rev0.5,recent,artificial_reconstruction,20.488424143697884,0.32731900118825896,0.6496911369363144,118661
target_two_nw0.1_rev0.5,recent,revision,8.407146413826373,0.6011648800351578,0.8886299030379226,179761
target_two_nw0.2_rev0,recent,artificial_reconstruction,20.577111143415642,0.36008461078197557,0.6981147976167401,118661
target_two_nw0.2_rev0,recent,revision,8.519437082317943,0.566696891984357,0.8762301055290079,179761
target_two_nw0.2_rev0.5,recent,artificial_reconstruction,20.008830937788783,0.3496262461971499,0.6836028686763131,118661
target_two_nw0.2_rev0.5,recent,revision,8.407256974494832,0.5805263655631644,0.8854757149771085,179761
pathogen_C_nw0.1_rev0,natural,revision,16.23515601017709,0.5217441788135769,0.8759999170623484,241145
pathogen_C_nw0.1_rev0.5,natural,revision,15.888679569477071,0.5186671919384602,0.8768832030521055,241145
pathogen_C_nw0.2_rev0,natural,revision,15.561801662435085,0.5285782413070974,0.8792593667710299,241145
pathogen_C_nw0.2_rev0.5,natural,revision,15.915508638643754,0.533334715627527,0.884534201414087,241145
pathogen_gated_nw0.1_rev0,natural,revision,6.817800815105641,0.5172406643305895,0.8721764913226482,241145
pathogen_gated_nw0.1_rev0.5,natural,revision,7.26525278231807,0.4915963424495635,0.8632026374173215,241145
pathogen_gated_nw0.2_rev0,natural,revision,6.844219083675435,0.495067283169877,0.8532542661054552,241145
pathogen_gated_nw0.2_rev0.5,natural,revision,6.9000941674094705,0.5072674117232371,0.8690455949739783,241145
pathogen_two_nw0.1_rev0,natural,revision,7.838783997038987,0.5774036368160236,0.8866656990607311,241145
pathogen_two_nw0.1_rev0.5,natural,revision,7.622970889254721,0.5952974351531236,0.8864873831097473,241145
pathogen_two_nw0.2_rev0,natural,revision,7.58631536281736,0.5471811565655519,0.8876236289369467,241145
pathogen_two_nw0.2_rev0.5,natural,revision,8.119060432670107,0.5646105040535777,0.8902029899023409,241145
target_C_nw0.1_rev0,natural,revision,16.251358282805064,0.5222418047232993,0.8757718385203923,241145
target_C_nw0.1_rev0.5,natural,revision,16.333485866434522,0.5271351261689026,0.8713885836322545,241145
target_C_nw0.2_rev0,natural,revision,16.54305583527778,0.49820232640112794,0.8659893425117667,241145
target_C_nw0.2_rev0.5,natural,revision,15.97478824392536,0.5131974538140952,0.8718198594206805,241145
target_gated_nw0.1_rev0,natural,revision,6.794348966100666,0.49653527960355803,0.8591262518401791,241145
target_gated_nw0.1_rev0.5,natural,revision,7.222414344215197,0.5108005556822659,0.8652304629994402,241145
target_gated_nw0.2_rev0,natural,revision,6.956329315586944,0.4824980820668063,0.8509693338033134,241145
target_gated_nw0.2_rev0.5,natural,revision,7.115595088369279,0.5071595927761305,0.8640776296419167,241145
target_two_nw0.1_rev0,natural,revision,8.271477655254518,0.5688486180513799,0.8785461029670945,241145
target_two_nw0.1_rev0.5,natural,revision,8.061882703051703,0.594546849405959,0.8852184370399552,241145
target_two_nw0.2_rev0,natural,revision,8.054404493456413,0.5642911940948392,0.8741255261357275,241145
target_two_nw0.2_rev0.5,natural,revision,8.020795527367472,0.5782288664496464,0.8820502187480561,241145
