date,season,target,lag_days,geography,n,weeks,locations,final_total,net_revision_pct,absolute_revision_pct,median_reported_pct,p10_reported_pct,p90_reported_pct,downward_pct
2025-09-13,2025-2026,nssp_covid_proportion,11,states,50,1,50,0.5801000050269067,3.2235827377893305,4.602655204490304,98.89472586221632,93.95374117755495,100.0,8.0
2025-09-13,2025-2026,nssp_flu_proportion,11,US,1,1,1,0.0015999999595806003,6.249996816768463,6.249996816768463,93.75000318323153,93.75000318323153,93.75000318323153,0.0
2025-09-13,2025-2026,nssp_flu_proportion,11,states,50,1,50,0.06160000013187528,5.681816289811498,7.629868326220496,97.22222689320745,81.33333045169489,100.0,2.0
2025-09-13,2025-2026,nssp_rsv_proportion,4,US,1,1,1,0.0003000000142492354,0.0,0.0,100.0,100.0,100.0,0.0
2025-09-13,2025-2026,nssp_rsv_proportion,4,states,50,1,50,0.010900000008405186,10.091743657568111,10.091743657568111,100.0,65.99999563442563,100.0,0.0
2025-09-13,2025-2026,nssp_rsv_proportion,11,US,1,1,1,0.0003000000142492354,0.0,0.0,100.0,100.0,100.0,0.0
2025-09-13,2025-2026,nssp_rsv_proportion,11,states,50,1,50,0.010900000008405186,5.504587146164858,5.504587146164858,100.0,87.99999877117163,100.0,0.0
2025-09-20,2025-2026,nhsn_covid_admissions,4,US,1,1,1,9595.0,7.826993225638353,7.826993225638353,92.17300677436164,92.17300677436164,92.17300677436164,0.0
2025-09-20,2025-2026,nhsn_covid_admissions,4,states,51,1,51,9449.0,8.032596041909196,9.683564398349032,93.87755102040816,79.11111111111111,100.0,5.88235294117647
2025-09-20,2025-2026,nhsn_covid_admissions,11,US,1,1,1,9595.0,7.826993225638353,7.826993225638353,92.17300677436164,92.17300677436164,92.17300677436164,0.0
2025-09-20,2025-2026,nhsn_covid_admissions,11,states,51,1,51,9449.0,8.032596041909196,9.683564398349032,93.87755102040816,79.11111111111111,100.0,5.88235294117647
2025-09-20,2025-2026,nhsn_flu_admissions,4,US,1,1,1,904.0,9.734513274336283,9.734513274336283,90.2654867256637,90.2654867256637,90.2654867256637,0.0
2025-09-20,2025-2026,nhsn_flu_admissions,4,states,51,1,51,822.0,10.70559610705596,10.70559610705596,100.0,61.25000000000001,100.0,0.0
2025-09-20,2025-2026,nhsn_flu_admissions,11,US,1,1,1,904.0,9.734513274336283,9.734513274336283,90.2654867256637,90.2654867256637,90.2654867256637,0.0
2025-09-20,2025-2026,nhsn_flu_admissions,11,states,51,1,51,822.0,10.70559610705596,10.70559610705596,100.0,61.25000000000001,100.0,0.0
