season,target,lag_days,geography,n,weeks,locations,final_total,net_revision_pct,absolute_revision_pct,median_reported_pct,p10_reported_pct,p90_reported_pct,downward_pct
2024-2025,nssp_flu_proportion,11,states,1024,21,49,36.930900088103954,4.9871519927888786,5.016395841105326,96.55172192313297,88.21752536199156,99.99999033390955,1.7578125
2024-2025,nssp_rsv_proportion,11,US,21,21,1,0.11680000019259751,9.84589200859071,9.84589200859071,88.88888560380045,87.2340442396063,94.44444731889689,0.0
2024-2025,nssp_rsv_proportion,11,states,1024,21,49,6.194800015102373,10.713824706121711,10.800994637221505,91.44599013755665,77.23776388103491,100.0,1.953125
2025-2026,nhsn_covid_admissions,4,US,19,19,1,107819.0,10.513916842115027,10.513916842115027,90.05690799873538,86.44023506957333,92.22524685047564,0.0
2025-2026,nhsn_covid_admissions,4,states,969,19,51,107474.0,10.532780021214434,10.882632078456185,92.07329842931938,67.72704714640199,100.0,2.476780185758514
2025-2026,nhsn_covid_admissions,11,US,21,21,1,117034.0,3.8390553172582327,3.8390553172582327,96.17461051982107,94.98901098901099,97.58141005374644,0.0
2025-2026,nhsn_covid_admissions,11,states,1071,21,51,116643.0,3.844208396560445,4.1134058623320735,99.61074760693081,85.51390433815351,100.0,3.081232492997199
2025-2026,nhsn_flu_admissions,4,US,20,20,1,295354.0,11.271558875112577,11.271558875112577,89.10377493915256,85.63798122285937,91.42644669681549,0.0
2025-2026,nhsn_flu_admissions,4,states,1018,20,51,291066.0,11.375083314437276,11.731016333065353,91.19496855345912,70.0,100.0,2.5540275049115913
2025-2026,nhsn_flu_admissions,11,US,21,21,1,285115.0,3.6290619574557637,3.6290619574557637,96.22962782777913,93.56463346390599,97.55285073670724,0.0
2025-2026,nhsn_flu_admissions,11,states,1083,22,51,285300.0,3.612688398177357,3.833508587451805,98.63945578231292,83.78378378378379,100.0,2.21606648199446
2025-2026,nhsn_rsv_admissions,4,US,19,19,1,105179.0,10.865286796794036,10.865286796794036,89.32909196067091,84.19485644411873,92.18797629815634,0.0
2025-2026,nhsn_rsv_admissions,4,states,969,19,51,104017.0,10.962631108376515,11.585606198986705,93.33333333333333,66.66666666666666,100.0,3.0959752321981426
2025-2026,nhsn_rsv_admissions,11,US,21,21,1,110737.0,4.088967553753488,4.088967553753488,95.90892262125139,92.88461538461539,97.5637902295166,0.0
2025-2026,nhsn_rsv_admissions,11,states,1071,21,51,109381.0,4.096689553030234,4.202740878214681,100.0,83.39113680154144,100.0,1.4939309056956116
2025-2026,nssp_covid_proportion,4,US,19,19,1,0.10660000122152269,4.315197699675203,4.315197699675203,95.77464853394743,94.11764343343293,97.21428289062031,0.0
2025-2026,nssp_covid_proportion,4,states,950,19,50,6.07050001405878,6.607363422872556,6.966477277956863,95.83333090801425,86.8392109007598,100.0,4.105263157894737
2025-2026,nssp_covid_proportion,11,US,21,21,1,0.11630000127479434,1.1177992875030034,1.1177992875030034,100.0,97.14285543226471,100.0,0.0
2025-2026,nssp_covid_proportion,11,states,1050,21,50,6.597800015297253,2.725150837448187,3.2980690858698383,98.8888907285385,93.75000318323153,100.0,6.190476190476191
2025-2026,nssp_flu_proportion,4,US,20,20,1,0.628700003027916,3.435661552655482,3.435661552655482,96.63003090125795,95.91597076108253,97.18381343975634,0.0
2025-2026,nssp_flu_proportion,4,states,1000,20,50,30.26520005390921,4.701769705074321,4.8345955851357525,97.33494974075104,90.60608082409728,100.0,4.7
2025-2026,nssp_flu_proportion,11,US,21,21,1,0.6329000028781593,1.1692206731358357,1.1692206731358357,99.22958245410173,97.73370444117904,99.49495035015848,0.0
2025-2026,nssp_flu_proportion,11,states,1050,21,50,30.429500054146047,1.5419247458638654,1.7975976992313996,99.42196809776974,96.8749957556916,100.0,7.904761904761905
2025-2026,nssp_rsv_proportion,4,US,19,19,1,0.08659999980591238,8.083140338641202,8.083140338641202,91.6666653731631,90.59523928631184,92.88220750482508,0.0
2025-2026,nssp_rsv_proportion,4,states,950,19,50,4.5125000043117325,7.765096733685836,8.571744926495018,94.33962330460848,79.99999476131077,100.0,2.631578947368421
2025-2026,nssp_rsv_proportion,11,US,21,21,1,0.09199999982956797,2.608694515529039,2.608694515529039,97.91666060336894,96.2264213937805,100.0,0.0
