date,target,age,geography,cells,weeks,locations,final_total,net_pct,absolute_pct
2026-03-07,nssp_rsv_proportion,4,states,50,1,50,0.3425000000279397,6.948904657210346,8.525547033744772
2026-03-07,nssp_rsv_proportion,11,US,1,1,1,0.00570000009611249,1.7543911245940476,1.7543911245940476
2026-03-07,nssp_rsv_proportion,11,states,50,1,50,0.3425000000279397,1.489051148500235,3.3576643757882945
2026-03-14,nhsn_covid_admissions,4,US,1,1,1,4321.0,8.609118259662115,8.609118259662115
2026-03-14,nhsn_covid_admissions,4,states,51,1,51,4303.0,8.621891703462701,10.341622124099466
2026-03-14,nhsn_covid_admissions,11,US,1,1,1,4321.0,2.753992131451053,2.753992131451053
2026-03-14,nhsn_covid_admissions,11,states,51,1,51,4303.0,2.742272832907274,2.742272832907274
2026-03-14,nhsn_flu_admissions,4,US,1,1,1,7805.0,8.878923766816143,8.878923766816143
2026-03-14,nhsn_flu_admissions,4,states,51,1,51,7676.0,8.871808233454924,11.842105263157896
2026-03-14,nhsn_flu_admissions,11,US,1,1,1,7805.0,2.447149263292761,2.447149263292761
2026-03-14,nhsn_flu_admissions,11,states,51,1,51,7676.0,2.42313705054716,2.787910369984367
2026-03-14,nhsn_rsv_admissions,4,US,1,1,1,7293.0,7.568901686548745,7.568901686548745
2026-03-14,nhsn_rsv_admissions,4,states,51,1,51,7267.0,7.595981835695611,10.73345259391771
2026-03-14,nhsn_rsv_admissions,11,US,1,1,1,7293.0,3.057726587138352,3.057726587138352
2026-03-14,nhsn_rsv_admissions,11,states,51,1,51,7267.0,3.0686665749277555,3.0686665749277555
2026-03-14,nssp_covid_proportion,4,US,1,1,1,0.004000000189989805,2.5000072759572687,2.5000072759572687
2026-03-14,nssp_covid_proportion,4,states,50,1,50,0.229500001471024,4.270153112065482,4.880174619268505
2026-03-14,nssp_covid_proportion,11,US,1,1,1,0.004000000189989805,0.0,0.0
2026-03-14,nssp_covid_proportion,11,states,50,1,50,0.229500001471024,1.220043927467388,1.3943357721752145
2026-03-14,nssp_flu_proportion,4,US,1,1,1,0.01979999989271164,3.030297899049148,3.030297899049148
2026-03-14,nssp_flu_proportion,4,states,50,1,50,1.0167999994009733,3.5896933791334718,3.7667192255130257
2026-03-14,nssp_flu_proportion,11,US,1,1,1,0.01979999989271164,0.5050496498415247,0.5050496498415247
2026-03-14,nssp_flu_proportion,11,states,50,1,50,1.0167999994009733,0.629425496175154,0.7671121231027163
2026-03-14,nssp_rsv_proportion,4,US,1,1,1,0.005499999970197678,7.272723424286861,7.272723424286861
2026-03-14,nssp_rsv_proportion,4,states,50,1,50,0.3351999996230006,7.1300708169962554,7.786395674357827
2026-03-14,nssp_rsv_proportion,11,US,1,1,1,0.005499999970197678,1.8181787394294888,1.8181787394294888
2026-03-14,nssp_rsv_proportion,11,states,50,1,50,0.3351999996230006,1.9988059983364168,2.1778038635155768
2026-03-21,nhsn_covid_admissions,4,US,1,1,1,3965.0,7.818411097099622,7.818411097099622
2026-03-21,nhsn_covid_admissions,4,states,51,1,51,3947.0,7.752723587534836,8.056751963516595
2026-03-21,nhsn_covid_admissions,11,US,1,1,1,3965.0,1.664564943253468,1.664564943253468
2026-03-21,nhsn_covid_admissions,11,states,51,1,51,3947.0,1.5961489739042312,1.79883455789207
2026-03-21,nhsn_flu_admissions,4,US,1,1,1,6097.0,11.300639658848613,11.300639658848613
2026-03-21,nhsn_flu_admissions,4,states,51,1,51,5940.0,11.43097643097643,11.7003367003367
2026-03-21,nhsn_flu_admissions,11,US,1,1,1,6097.0,2.689847465966869,2.689847465966869
2026-03-21,nhsn_flu_admissions,11,states,51,1,51,5940.0,2.744107744107744,2.744107744107744
2026-03-21,nhsn_rsv_admissions,4,US,1,1,1,6593.0,8.311845897163659,8.311845897163659
2026-03-21,nhsn_rsv_admissions,4,states,51,1,51,6580.0,8.328267477203648,8.844984802431611
2026-03-21,nhsn_rsv_admissions,11,US,1,1,1,6593.0,2.806006370392841,2.806006370392841
2026-03-21,nhsn_rsv_admissions,11,states,51,1,51,6580.0,2.811550151975684,3.024316109422492
2026-03-21,nssp_covid_proportion,4,US,1,1,1,0.0034000000450760126,5.882356566567068,5.882356566567068
2026-03-21,nssp_covid_proportion,4,states,50,1,50,0.18340000143507496,3.980371217818447,4.198473861602356
2026-03-21,nssp_covid_proportion,11,US,1,1,1,0.0034000000450760126,0.0,0.0
2026-03-21,nssp_covid_proportion,11,states,50,1,50,0.18340000143507496,0.7088327671073137,1.1450380546751302
2026-03-21,nssp_flu_proportion,4,US,1,1,1,0.015699999406933784,3.1847080861225456,3.1847080861225456
2026-03-21,nssp_flu_proportion,4,states,50,1,50,0.8340999986976385,3.6806139530317354,3.8244813506333206
2026-03-21,nssp_flu_proportion,11,US,1,1,1,0.015699999406933784,0.6369416172245091,0.6369416172245091
2026-03-21,nssp_flu_proportion,11,states,50,1,50,0.8340999986976385,0.8392284958169882,1.0070737930188376
2026-03-21,nssp_rsv_proportion,4,US,1,1,1,0.004800000227987766,8.333338183971513,8.333338183971513
2026-03-21,nssp_rsv_proportion,4,states,50,1,50,0.3071999988751486,8.6914060314711,8.7565103909465
2026-03-21,nssp_rsv_proportion,11,US,1,1,1,0.004800000227987766,2.0833393966310574,2.0833393966310574
2026-03-21,nssp_rsv_proportion,11,states,50,1,50,0.3071999988751486,2.018229080439345,2.2135412493708375
2026-03-28,nhsn_covid_admissions,4,US,1,1,1,2275.0,13.626373626373626,13.626373626373626
2026-03-28,nhsn_covid_admissions,4,states,51,1,51,2266.0,13.592233009708737,13.857016769638129
2026-03-28,nhsn_covid_admissions,11,US,1,1,1,2275.0,5.010989010989011,5.010989010989011
2026-03-28,nhsn_covid_admissions,11,states,51,1,51,2266.0,4.942630185348632,4.942630185348632
2026-03-28,nhsn_flu_admissions,4,US,1,1,1,3311.0,12.594382361824222,12.594382361824222
2026-03-28,nhsn_flu_admissions,4,states,51,1,51,3255.0,12.749615975422428,13.118279569892474
2026-03-28,nhsn_flu_admissions,11,US,1,1,1,3311.0,6.946541830262761,6.946541830262761
2026-03-28,nhsn_flu_admissions,11,states,51,1,51,3255.0,7.0046082949308754,7.0046082949308754
