regime,season,target,age,geography,source,cells,weeks,locations,final_total,net_pct,absolute_pct
New mandate,2025-2026,nssp_covid_proportion,4,US,hub_covid_current,43,43,1,0.2067000005627051,4.2573775823408395,4.2573775823408395
New mandate,2025-2026,nssp_covid_proportion,4,states,hub_covid_current,2159,43,51,10.412700034401496,6.231813137123361,6.688947219448008
New mandate,2025-2026,nssp_covid_proportion,11,US,hub_covid_current,43,43,1,0.2067000005627051,1.4997578045976263,1.4997578045976263
New mandate,2025-2026,nssp_covid_proportion,11,states,hub_covid_current,2159,43,51,10.412700034401496,3.056844130296557,3.7118134631470254
New mandate,2025-2026,nssp_flu_proportion,4,US,delphi_nssp,3,3,1,0.003100000089034438,6.451611146699149,6.451611146699149
New mandate,2025-2026,nssp_flu_proportion,4,US,hub_flusight_current,29,29,1,0.6295000044628978,3.447181356538355,3.447181356538355
New mandate,2025-2026,nssp_flu_proportion,4,US,hub_flusight_current:git,3,3,1,0.03039999958127737,3.2894712051446016,3.2894712051446016
New mandate,2025-2026,nssp_flu_proportion,4,states,delphi_nssp,147,3,49,0.12049999982264126,5.3941916910278875,6.7219933588067
New mandate,2025-2026,nssp_flu_proportion,4,states,hub_flusight_current,1454,29,51,30.877700069191633,4.6081800814239315,4.7195873887353
New mandate,2025-2026,nssp_flu_proportion,4,states,hub_flusight_current:git,150,3,50,1.194200002690195,4.546976469439304,5.417852681981109
New mandate,2025-2026,nssp_flu_proportion,11,US,delphi_nssp,3,3,1,0.003100000089034438,6.451611146699149,6.451611146699149
New mandate,2025-2026,nssp_flu_proportion,11,US,hub_flusight_current,29,29,1,0.6295000044628978,1.1914216172673673,1.1914216172673673
New mandate,2025-2026,nssp_flu_proportion,11,US,hub_flusight_current:git,3,3,1,0.03039999958127737,0.9868404424750375,0.9868404424750375
New mandate,2025-2026,nssp_flu_proportion,11,states,delphi_nssp,147,3,49,0.12049999982264126,2.572614813524305,3.568466547409543
New mandate,2025-2026,nssp_flu_proportion,11,states,hub_flusight_current,1454,29,51,30.877700069191633,1.4152608250119256,1.6348367582780847
New mandate,2025-2026,nssp_flu_proportion,11,states,hub_flusight_current:git,150,3,50,1.194200002690195,2.193937599667269,3.1652992050941884
New mandate,2025-2026,nssp_rsv_proportion,4,US,hub_rsv_current,43,43,1,0.10569999992731027,8.230841548715286,8.230841548715286
New mandate,2025-2026,nssp_rsv_proportion,4,states,hub_rsv_current,2159,43,51,5.723500004693051,8.723682844083493,9.426050282178716
New mandate,2025-2026,nssp_rsv_proportion,11,US,hub_rsv_current,43,43,1,0.10569999992731027,2.7436133700147955,2.7436133700147955
New mandate,2025-2026,nssp_rsv_proportion,11,states,hub_rsv_current,2159,43,51,5.723500004693051,3.031361817281608,3.8665151784082914
Previous regime,2023-2024,nhsn_flu_admissions,4,US,hub_flusight_current,32,32,1,242331.0,3.2406089192055494,3.474173754080163
Previous regime,2023-2024,nhsn_flu_admissions,4,states,hub_flusight_current,1632,32,51,239896.0,3.2472404708707105,5.442358355287291
Previous regime,2023-2024,nhsn_flu_admissions,11,US,hub_flusight_current,32,32,1,242331.0,2.8733426594203797,3.153950588245004
Previous regime,2023-2024,nhsn_flu_admissions,11,states,hub_flusight_current,1632,32,51,239896.0,2.874995831526995,4.587404541968186
