regime,season,target,age,geography,cells,weeks,locations,final_total,net_pct,absolute_pct
New mandate,2024-2025,nssp_rsv_proportion,4,US,7,7,1,0.0012999999671592377,15.384615384615385,15.384615384615385
New mandate,2024-2025,nssp_rsv_proportion,4,states,350,7,50,0.05139999975654064,11.673151709552604,14.007782068449796
New mandate,2024-2025,nssp_rsv_proportion,11,US,7,7,1,0.0012999999671592377,0.0,0.0
New mandate,2024-2025,nssp_rsv_proportion,11,states,350,7,50,0.05139999975654064,5.642023485297878,8.754863944953389
New mandate,2025-2026,nhsn_covid_admissions,4,US,45,45,1,205199.0,10.270517887514071,10.270517887514071
New mandate,2025-2026,nhsn_covid_admissions,4,states,2295,45,51,203008.0,10.349345838587642,10.801544766708702
New mandate,2025-2026,nhsn_covid_admissions,11,US,45,45,1,205199.0,4.035107383564247,4.035107383564247
New mandate,2025-2026,nhsn_covid_admissions,11,states,2295,45,51,203008.0,4.061416298865069,4.335297131147541
New mandate,2025-2026,nhsn_flu_admissions,4,US,34,34,1,299445.0,10.86209487551971,10.86209487551971
New mandate,2025-2026,nhsn_flu_admissions,4,states,1744,35,51,298494.0,11.152652984649608,11.495038426233023
New mandate,2025-2026,nhsn_flu_admissions,11,US,34,34,1,299445.0,3.839436290470704,3.839436290470704
New mandate,2025-2026,nhsn_flu_admissions,11,states,1744,35,51,298494.0,3.8355879850181243,4.0506676851125984
New mandate,2025-2026,nhsn_rsv_admissions,4,US,45,45,1,129686.0,10.841571179618462,10.841571179618462
New mandate,2025-2026,nhsn_rsv_admissions,4,states,2295,45,51,128191.0,10.938365407867947,11.654484324172524
New mandate,2025-2026,nhsn_rsv_admissions,11,US,45,45,1,129686.0,4.284965223694154,4.284965223694154
New mandate,2025-2026,nhsn_rsv_admissions,11,states,2295,45,51,128191.0,4.309974959240508,4.451950604956666
New mandate,2025-2026,nssp_covid_proportion,4,US,43,43,1,0.2067000005627051,4.2573775823408395,4.2573775823408395
New mandate,2025-2026,nssp_covid_proportion,4,states,2159,43,51,10.412700034401496,6.231813137123361,6.688947219448008
New mandate,2025-2026,nssp_covid_proportion,11,US,43,43,1,0.2067000005627051,1.4997578045976263,1.4997578045976263
New mandate,2025-2026,nssp_covid_proportion,11,states,2159,43,51,10.412700034401496,3.056844130296557,3.7118134631470254
New mandate,2025-2026,nssp_flu_proportion,4,US,35,35,1,0.6630000041332096,3.453997863404854,3.453997863404854
New mandate,2025-2026,nssp_flu_proportion,4,states,1751,35,51,32.19240007170447,4.608851825225978,4.752985281769566
New mandate,2025-2026,nssp_flu_proportion,11,US,35,35,1,0.6630000041332096,1.2066362783814957,1.2066362783814957
New mandate,2025-2026,nssp_flu_proportion,11,states,1751,35,51,32.19240007170447,1.4484785086707028,1.698848159812687
New mandate,2025-2026,nssp_rsv_proportion,4,US,43,43,1,0.10569999992731027,8.230841548715286,8.230841548715286
New mandate,2025-2026,nssp_rsv_proportion,4,states,2159,43,51,5.723500004693051,8.723682844083493,9.426050282178716
New mandate,2025-2026,nssp_rsv_proportion,11,US,43,43,1,0.10569999992731027,2.7436133700147955,2.7436133700147955
New mandate,2025-2026,nssp_rsv_proportion,11,states,2159,43,51,5.723500004693051,3.031361817281608,3.8665151784082914
Previous regime,2023-2024,nhsn_flu_admissions,4,US,32,32,1,242331.0,3.2406089192055494,3.474173754080163
Previous regime,2023-2024,nhsn_flu_admissions,4,states,1632,32,51,239896.0,3.2472404708707105,5.442358355287291
Previous regime,2023-2024,nhsn_flu_admissions,11,US,32,32,1,242331.0,2.8733426594203797,3.153950588245004
Previous regime,2023-2024,nhsn_flu_admissions,11,states,1632,32,51,239896.0,2.874995831526995,4.587404541968186
