config_id,seed,geography,wk inc flu hosp,wk inc covid hosp,wk inc rsv hosp,wk inc flu prop ed visits,wk inc covid prop ed visits,wk inc rsv prop ed visits,combined,horizon
Forward Separate,43,all,1.0400547454953397,1.1227579605242894,1.3319133795542448,1.1747022752838878,1.1951356107056763,1.2906483084192648,1.183326485061842,0
Forward Separate,44,all,1.0589016788434857,0.9961014831045639,1.5365938822468725,1.1362311007493653,1.1653745713496118,2.0418648008177525,1.2807405068118414,0
B1 B gap-only,42,all,0.9187208566389293,0.9134011799378314,1.037474743043166,1.044205509668194,1.151155865239963,0.8869552136616011,0.9801677942010679,1
B1 B gap-only,43,all,1.0601974268064787,0.9378599841946679,1.0314638964383283,1.0349166136154766,0.9122831368609039,0.9734644291590301,0.9977451993904844,1
B1 B gap-only,44,all,0.9646131337587628,0.9530262424304612,1.2921338485359655,0.8694079707753688,0.9061135603437966,1.0012186675313741,1.0218096275667687,1
B1 B no-mask,42,all,1.0180314279173284,0.9409389147825391,0.9267849195417908,1.0584493837267661,1.1449434904315576,1.057265529796379,1.0035743253820022,1
B1 B no-mask,43,all,0.9954815445458073,0.9869848329657732,1.0799869916965583,1.004941153924908,1.0623682270851282,1.0086668279338653,1.0223203274844643,1
B1 B no-mask,44,all,0.935233933703693,1.0134744198374688,1.0106628294496738,0.8860613638813353,0.9602158576024703,0.9730727292654072,0.9708991463034314,1
B1 gated 0.20,42,all,0.9241128211944301,0.961826176094107,0.9776297804938006,1.005348115277542,1.038915973961642,1.2223315536905828,0.9993036887216048,1
B1 gated 0.20,43,all,1.0910853240457405,1.0233179899564948,1.2137810924685444,0.9781337972651496,1.1556288688215615,1.1351738705786643,1.1028117055118818,1
B1 gated 0.20,44,all,0.9787082813566657,0.9553890407141419,0.9752067711812084,0.976315860409523,1.1195471783838555,1.0794467664120675,0.999324221301053,1
B1 joint two-stage,42,all,1.0907922402654695,1.0507431101974818,1.0974090243453505,1.209914939028183,1.1013630048384326,1.0769700016168757,1.0962374105666772,1
B1 joint two-stage,43,all,1.2242739921818067,1.0353222636352317,0.9982740645228,1.083962125221663,3.1254330365242113,1.0055332659067024,1.3034076742591394,1
B1 joint two-stage,44,all,1.199621740965779,0.9422540748415494,0.9250437569001919,0.8990005790614806,1.1589346023532026,1.0470446499784778,1.0265354418675778,1
Forward Direct B,42,all,1.0574010967828935,1.2129348564706612,1.4878140767321324,1.180193361615275,1.4546377285580279,1.6949334724156746,1.316229402506706,1
Forward Direct B,43,all,0.9314854062160198,1.2323738545766896,1.3319311394552114,1.3717760999225368,1.1821478041083162,1.3156185813706756,1.2067914762108187,1
Forward Direct B,44,all,1.182402599170524,1.164735109936154,1.7784975967548546,1.2637103379046297,1.2208846485104126,2.0201733145721934,1.4173376569678113,1
Forward Joint gated,42,all,1.1019472266249044,1.381163383771616,1.5462287808961843,1.1488499582265101,2.0053101765327708,1.1667703815610129,1.375512144322856,1
Forward Joint gated,43,all,1.2609372038810949,1.103189144470312,1.675106948187527,1.2230094344568079,1.7235315380065024,1.4362118833277022,1.384579938763209,1
Forward Joint gated,44,all,1.2839029680350555,1.0382236210806006,1.4221889304568522,1.072291068695278,1.74325951662458,1.543654592052375,1.3164262462796943,1
Forward Separate,42,all,1.052251438739825,1.04271912376545,1.2943396838887085,1.087790113010795,1.0982897988222358,1.136375226843198,1.122341736829355,1
Forward Separate,43,all,0.9526920458252827,1.053498615984343,1.295193843767931,1.0142406012162493,1.0786973174517507,1.0768109682311062,1.0858353220060244,1
Forward Separate,44,all,0.9746518698435317,0.9585747598885773,1.487868229555935,0.95012836306974,1.0799046705513642,1.7206572582873776,1.176986667831619,1
B1 B gap-only,42,all,0.8896756362294942,0.8459144649892778,0.9325318957930552,0.9653735314035102,1.1970892873535748,0.6186699452332259,0.9019307508904405,2
B1 B gap-only,43,all,0.9906519206713619,0.8870051154017856,0.948748300356124,0.8699559658062023,0.8920667028608709,0.687443997557128,0.9002530376758605,2
B1 B gap-only,44,all,0.9151799958796387,0.9184948463877971,1.2108760315187672,0.7487803049533392,0.8708289360611046,0.7146829849869157,0.9359326637304183,2
B1 B no-mask,42,all,0.9687335321801624,0.8696407772788803,0.8239138387683198,0.9684024256749388,1.1565980201998645,0.6902700384391534,0.9044274200854091,2
B1 B no-mask,43,all,0.8984210384271263,0.9311556765703356,0.9895496769903706,0.8901665402097907,1.076917544664473,0.7180065879363563,0.9248159396429205,2
B1 B no-mask,44,all,0.8922502394832243,0.9712158721109504,0.9184441154578099,0.78155236964833,0.9674572749280281,0.6909878080871279,0.8893131007519395,2
B1 gated 0.20,42,all,0.8253532300588181,0.9403309305931687,0.8675188211296784,0.888125347990668,1.075054436012269,0.8400542157324247,0.8966266625887437,2
B1 gated 0.20,43,all,1.0389146348483944,0.9458758885812715,1.0913911354002137,0.8472153658309037,1.1021559497948301,0.7692808305618187,0.9856683848719234,2
B1 gated 0.20,44,all,0.8804401388385942,0.901311180764225,0.8553693883529736,0.8667263246144066,1.054046736149537,0.7544186923728821,0.88327035211649,2
B1 joint two-stage,42,all,1.0550515153468212,1.0554944505179258,0.9527212653885806,1.1838109763348035,1.1629520067155477,0.737764542660861,1.0234513320242073,2
B1 joint two-stage,43,all,1.1166362383035169,0.990541134968803,0.8848921512968777,0.9706174098185144,2.865727799662746,0.7366815100110331,1.1730184187367432,2
B1 joint two-stage,44,all,1.14666428343452,0.9241451991117604,0.7709319423300295,0.7986247756043101,1.1912535148849663,0.7292771272294266,0.9336264741634803,2
Forward Direct B,42,all,1.0020354171904398,1.1356947730440892,1.453733603798281,1.1304736144153427,1.478692559676334,1.1314912024438453,1.2137316627334602,2
Forward Direct B,43,all,0.89368309340957,1.130158463048868,1.2248368502154992,1.2523201095323366,1.1847329877934716,0.841689431774506,1.086233260272021,2
Forward Direct B,44,all,1.0948239718174635,1.1223934540049811,1.6550144749613045,1.1493056318933603,1.2271755167913632,1.4636159543903646,1.2871734338491763,2
Forward Joint gated,42,all,1.0394209944994122,1.275079377126595,1.401749811104475,1.1341538968977325,1.773727723933863,0.7378769091609099,1.2309176550503855,2
Forward Joint gated,43,all,1.1401933297974618,1.0457259909731853,1.483258339485264,1.1746817713268953,1.4375528350611044,0.9515006587389593,1.211343398404309,2
Forward Joint gated,44,all,1.246630732838433,1.0278979873301495,1.3535661003470743,1.0213933039969392,1.6524587239303585,1.0032214350715816,1.2148070115589105,2
Forward Separate,42,all,0.97815465666592,0.996947224924726,1.221705842044464,0.9750921645436665,1.023172196078836,0.7700945199336334,1.017997147536262,2
Forward Separate,43,all,0.8933028513712639,0.9762683653663328,1.1710099390951614,0.8936257479960938,0.9545486314376902,0.8235564873080032,0.9725436864897004,2
Forward Separate,44,all,0.9056025970033441,0.898183158023912,1.3361584017675705,0.8621941696850234,1.0099643619959295,1.2880288956297667,1.0488973045444858,2
B1 B gap-only,42,all,0.8722034041906513,0.8430384397170303,0.9194048399296135,0.9697183536027294,1.1773533343314682,0.5831545412730347,0.8888355107646471,3
B1 B gap-only,43,all,0.968417730731935,0.896393187413456,0.9239269327388104,0.7952364603374239,0.8496444272188455,0.6401727821383902,0.873614374607007,3
