candidate,seed,target,season,geography,location,wis,scaled_wis,covered_50,covered_80,covered_90,covered_95
joint,43,wk inc rsv hosp,2025-2026,states_dc,40,8.830471559611048,0.06459744528945145,0.14563106796116504,0.2815533980582524,0.33495145631067963,0.3592233009708738
joint,43,wk inc rsv hosp,2025-2026,states_dc,41,8.561002298495524,0.058456840292610675,0.1941747572815534,0.3640776699029126,0.44660194174757284,0.49514563106796117
joint,43,wk inc rsv hosp,2025-2026,states_dc,42,53.84194501489262,0.06126757171519342,0.2621359223300971,0.5194174757281553,0.6116504854368932,0.6796116504854369
joint,43,wk inc rsv hosp,2025-2026,states_dc,44,4.7131743018556165,0.08423903909895138,0.1796116504854369,0.3737864077669903,0.441747572815534,0.5145631067961165
joint,43,wk inc rsv hosp,2025-2026,states_dc,45,11.394443483306013,0.05349503982772776,0.22330097087378642,0.45145631067961167,0.5388349514563107,0.6067961165048543
joint,43,wk inc rsv hosp,2025-2026,states_dc,46,2.403804341796202,0.06342490134891524,0.13592233009708737,0.27184466019417475,0.3446601941747573,0.3932038834951456
joint,43,wk inc rsv hosp,2025-2026,states_dc,47,13.165738354961816,0.05497176766163598,0.22330097087378642,0.4223300970873786,0.470873786407767,0.558252427184466
joint,43,wk inc rsv hosp,2025-2026,states_dc,48,59.591673287307735,0.06880459804711847,0.27184466019417475,0.49029126213592233,0.5922330097087378,0.6796116504854369
joint,43,wk inc rsv hosp,2025-2026,states_dc,49,4.120896053788819,0.020370228546336615,0.11165048543689321,0.2621359223300971,0.3300970873786408,0.36893203883495146
joint,43,wk inc rsv hosp,2025-2026,states_dc,50,2.0382077924224147,0.15440967231948363,0.10679611650485436,0.16990291262135923,0.21359223300970873,0.23300970873786409
joint,43,wk inc rsv hosp,2025-2026,states_dc,51,14.723710682968614,0.09948450087114577,0.13106796116504854,0.3300970873786408,0.46116504854368934,0.5631067961165048
joint,43,wk inc rsv hosp,2025-2026,states_dc,53,6.482866677541393,0.04837962410745754,0.3106796116504854,0.5,0.6019417475728155,0.6504854368932039
joint,43,wk inc rsv hosp,2025-2026,states_dc,54,10.271338662601373,0.10464940704361349,0.17475728155339806,0.32524271844660196,0.36893203883495146,0.41262135922330095
joint,43,wk inc rsv hosp,2025-2026,states_dc,55,15.904950624538563,0.08251595654754118,0.23786407766990292,0.38349514563106796,0.5145631067961165,0.587378640776699
joint,43,wk inc rsv hosp,2025-2026,states_dc,56,2.68129327824041,0.06206700034076689,0.1262135922330097,0.20388349514563106,0.22815533980582525,0.2669902912621359
joint,43,wk inc rsv prop ed visits,2025-2026,US,US,0.0003572157235782545,0.03720996943868947,0.5388349514563107,0.8009708737864077,0.8640776699029126,0.9271844660194175
joint,43,wk inc rsv prop ed visits,2025-2026,states_dc,01,0.0005352156878671086,0.04124976449014799,0.47572815533980584,0.6796116504854369,0.7815533980582524,0.8786407766990292
joint,43,wk inc rsv prop ed visits,2025-2026,states_dc,02,0.0007707083135425684,0.04507065962335363,0.3106796116504854,0.5339805825242718,0.6699029126213593,0.6990291262135923
joint,43,wk inc rsv prop ed visits,2025-2026,states_dc,04,0.00021343520690381992,0.02762915496385624,0.35436893203883496,0.6213592233009708,0.7621359223300971,0.8009708737864077
joint,43,wk inc rsv prop ed visits,2025-2026,states_dc,05,0.0013888420449892603,0.06535727201791866,0.2912621359223301,0.5194174757281553,0.6941747572815534,0.7572815533980582
joint,43,wk inc rsv prop ed visits,2025-2026,states_dc,06,0.0002134242537800323,0.030165971887697474,0.49029126213592233,0.8689320388349514,0.9320388349514563,0.9563106796116505
joint,43,wk inc rsv prop ed visits,2025-2026,states_dc,08,0.0004019843828153224,0.04176461142789783,0.3932038834951456,0.6941747572815534,0.8009708737864077,0.8300970873786407
joint,43,wk inc rsv prop ed visits,2025-2026,states_dc,09,0.0003473737706322735,0.04074765659994774,0.38349514563106796,0.6019417475728155,0.6796116504854369,0.7038834951456311
joint,43,wk inc rsv prop ed visits,2025-2026,states_dc,10,0.000813671434678057,0.03723896861830315,0.27184466019417475,0.5485436893203883,0.6990291262135923,0.7912621359223301
joint,43,wk inc rsv prop ed visits,2025-2026,states_dc,11,0.0006297891184128728,0.041501754552831976,0.18932038834951456,0.3640776699029126,0.5145631067961165,0.5776699029126213
joint,43,wk inc rsv prop ed visits,2025-2026,states_dc,12,0.0005912758197089012,0.0824077806831145,0.3058252427184466,0.6310679611650486,0.7233009708737864,0.7864077669902912
joint,43,wk inc rsv prop ed visits,2025-2026,states_dc,13,0.00037066433594199106,0.0481382257078538,0.49514563106796117,0.7233009708737864,0.8252427184466019,0.8786407766990292
joint,43,wk inc rsv prop ed visits,2025-2026,states_dc,15,0.0010520758306099922,0.16833213038925451,0.2912621359223301,0.48058252427184467,0.6213592233009708,0.6990291262135923
joint,43,wk inc rsv prop ed visits,2025-2026,states_dc,16,0.0004405563288524647,0.03618532394127667,0.3737864077669903,0.6941747572815534,0.7572815533980582,0.8058252427184466
joint,43,wk inc rsv prop ed visits,2025-2026,states_dc,17,0.0005603736351490128,0.043272094198235314,0.5533980582524272,0.7475728155339806,0.8349514563106796,0.883495145631068
joint,43,wk inc rsv prop ed visits,2025-2026,states_dc,18,0.00039058807112994496,0.03591614550519381,0.5825242718446602,0.7912621359223301,0.8592233009708737,0.8883495145631068
joint,43,wk inc rsv prop ed visits,2025-2026,states_dc,19,0.0012582894535518173,0.08939889647879282,0.3883495145631068,0.6262135922330098,0.7135922330097088,0.7475728155339806
joint,43,wk inc rsv prop ed visits,2025-2026,states_dc,20,0.0004917002712721857,0.050301819612586125,0.32524271844660196,0.6019417475728155,0.6796116504854369,0.7718446601941747
joint,43,wk inc rsv prop ed visits,2025-2026,states_dc,21,0.0005454148073882693,0.030945520410980833,0.46116504854368934,0.7135922330097088,0.8058252427184466,0.8932038834951457
joint,43,wk inc rsv prop ed visits,2025-2026,states_dc,22,0.0004923627965872783,0.03787406049451259,0.44660194174757284,0.7038834951456311,0.8058252427184466,0.8640776699029126
