candidate,seed,target,season,geography,horizon,wis,scaled_wis,covered_50,covered_80,covered_90,covered_95
direct,42,wk inc rsv prop ed visits,2025-2026,US,2,0.00045184371473638927,0.0470670513828089,0.45098039215686275,0.7843137254901961,0.803921568627451,0.8823529411764706
direct,42,wk inc rsv prop ed visits,2025-2026,US,3,0.0004889932999995084,0.05093679966391397,0.52,0.76,0.82,0.88
direct,42,wk inc rsv prop ed visits,2025-2026,states_dc,0,0.0005988184034765899,0.05195509504370407,0.3218645948945616,0.5479097299297078,0.6548279689234184,0.7143914169441361
direct,42,wk inc rsv prop ed visits,2025-2026,states_dc,1,0.0006312063349135343,0.05466471480032365,0.35671191553544496,0.6014328808446455,0.7058823529411765,0.7586726998491704
direct,42,wk inc rsv prop ed visits,2025-2026,states_dc,2,0.0006772690448804075,0.05849407709840575,0.3748558246828143,0.6312956555171088,0.7243367935409458,0.7750865051903114
direct,42,wk inc rsv prop ed visits,2025-2026,states_dc,3,0.0007227952719911618,0.06219862732548061,0.3870588235294118,0.6337254901960784,0.7341176470588235,0.787843137254902
direct,43,wk inc covid hosp,2025-2026,US,0,757.2900343579362,0.02780250600201014,0.2830188679245283,0.49056603773584906,0.5660377358490566,0.6226415094339622
direct,43,wk inc covid hosp,2025-2026,US,1,979.5235322785138,0.03596139873723951,0.2692307692307692,0.46153846153846156,0.5192307692307693,0.5576923076923077
direct,43,wk inc covid hosp,2025-2026,US,2,1207.337377112243,0.044325163610628916,0.21568627450980393,0.37254901960784315,0.4117647058823529,0.5294117647058824
direct,43,wk inc covid hosp,2025-2026,US,3,1328.8907272376018,0.04878777052884884,0.24,0.32,0.38,0.46
direct,43,wk inc covid hosp,2025-2026,states_dc,0,17.199651457939904,0.03366209051376225,0.341842397336293,0.58157602663707,0.6899741028486867,0.7517573066962634
direct,43,wk inc covid hosp,2025-2026,states_dc,1,20.13592263687243,0.038458330997937426,0.3190045248868778,0.5622171945701357,0.6621417797888386,0.7273755656108597
direct,43,wk inc covid hosp,2025-2026,states_dc,2,23.2738367187877,0.043130057643814945,0.3094963475586313,0.5397923875432526,0.6432141484044598,0.7062668204536716
direct,43,wk inc covid hosp,2025-2026,states_dc,3,25.313572233905834,0.04614760263622413,0.2901960784313726,0.5172549019607843,0.6133333333333333,0.6843137254901961
direct,43,wk inc covid prop ed visits,2025-2026,US,0,0.0009914479795065988,0.03804481877007847,0.4528301886792453,0.660377358490566,0.7358490566037735,0.7547169811320755
direct,43,wk inc covid prop ed visits,2025-2026,US,1,0.001329197704485021,0.05100528401086965,0.17307692307692307,0.36538461538461536,0.5769230769230769,0.6346153846153846
direct,43,wk inc covid prop ed visits,2025-2026,US,2,0.0016618924443428393,0.06377177438179975,0.0784313725490196,0.13725490196078433,0.29411764705882354,0.4117647058823529
direct,43,wk inc covid prop ed visits,2025-2026,US,3,0.001898128121550721,0.07283684255700884,0.08,0.1,0.18,0.26
direct,43,wk inc covid prop ed visits,2025-2026,states_dc,0,0.0011596155631864568,0.03887996400040976,0.3196448390677026,0.5549389567147613,0.6403995560488346,0.6944136145024047
direct,43,wk inc covid prop ed visits,2025-2026,states_dc,1,0.0014439304687004035,0.04837525319954522,0.251131221719457,0.4581447963800905,0.5580693815987934,0.6191553544494721
direct,43,wk inc covid prop ed visits,2025-2026,states_dc,2,0.0017047857016544113,0.05716050233934946,0.20838139177239523,0.37985390234525185,0.47635524798154555,0.5436370626682046
