target,season,geography,location,horizon,n,model_wis,model_dispersion,model_underprediction,model_overprediction,model_ae_median,model_covered_50,model_covered_80,model_covered_90,model_covered_95,ensemble_wis,ensemble_dispersion,ensemble_underprediction,ensemble_overprediction,ensemble_ae_median,ensemble_covered_50,ensemble_covered_80,ensemble_covered_90,ensemble_covered_95,config_id,seed
wk inc covid hosp,2025-2026,states_dc,11,1,44,162.16739130434783,30.254347826086956,109.8695652173913,22.043478260869566,228.0,15.0,23.0,26.0,29.0,141.73711008259042,45.39339074622882,68.25747192074498,28.08624741561662,233.08143023179923,19.0,32.0,37.0,40.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,11,2,43,172.40173913043478,34.79304347826087,105.04347826086956,32.565217391304344,247.0,15.0,24.0,28.0,31.0,159.81544853860143,58.58123965191486,60.74847854669572,40.48573033999085,238.21293848920084,22.0,32.0,36.0,39.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,11,3,42,182.8982608695652,39.028695652173916,95.34782608695652,48.52173913043478,257.0,17.0,21.0,23.0,29.0,166.54282807565005,65.03583014128546,47.69666986551408,53.8103280688505,263.64997568235174,20.0,35.0,35.0,37.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,12,0,45,1313.2886956521738,581.8104347826087,661.3478260869565,70.1304347826087,2028.0,26.0,39.0,43.0,45.0,1454.4457363696822,717.7961213205534,657.4206546536778,79.22896039545088,2349.215239040476,26.0,38.0,45.0,45.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,12,1,44,1342.5978260869565,647.554347826087,604.9565217391304,90.08695652173913,2100.0,28.0,40.0,44.0,44.0,1791.920338335656,982.3835374265796,502.86540158509183,306.67139932398453,3135.970453344118,27.0,42.0,44.0,44.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,12,2,43,1434.7960869565218,702.3178260869565,621.4782608695652,111.0,2083.0,31.0,40.0,41.0,41.0,2512.835382742059,1221.1110703312095,515.3666033048436,776.3577091060063,3947.0751552357083,27.0,36.0,41.0,42.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,12,3,42,1573.6852173913044,737.2069565217391,720.0869565217391,116.3913043478261,2317.0,30.0,37.0,38.0,41.0,3011.98469441087,1436.1790571021188,429.9211645844956,1145.8844727242556,4721.258659288086,25.0,36.0,39.0,41.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,13,0,45,436.5313043478261,205.44434782608698,138.08695652173913,93.0,697.0,28.0,38.0,43.0,45.0,526.3888217438328,226.14579261982618,205.4157384598867,94.8272906641198,825.3281353515157,23.0,35.0,43.0,44.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,13,1,44,639.9773913043479,233.19478260869565,183.8695652173913,222.91304347826085,1012.0,21.0,35.0,40.0,42.0,754.9179398806422,320.7336287649293,212.96213390370272,221.22217721201014,1226.647757234926,21.0,36.0,41.0,44.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,13,2,43,794.7882608695652,260.5273913043478,182.30434782608697,351.95652173913044,1172.0,25.0,36.0,38.0,38.0,1028.9242489682424,420.0465093833434,217.6089229002904,391.2688166846086,1626.7295129346485,22.0,37.0,41.0,42.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,13,3,42,974.1165217391305,286.2904347826087,127.21739130434783,560.6086956521739,1456.0,21.0,31.0,36.0,38.0,1198.2849350805327,511.4382540491061,112.7632677061443,574.0834133252822,1887.0599943767897,22.0,34.0,36.0,40.0,B1 B gap-only,43
wk inc covid hosp,2025-2026,states_dc,15,0,45,99.68521739130435,30.946086956521743,45.78260869565217,22.956521739130437,151.0,18.0,33.0,34.0,36.0,93.12402568210554,48.81369933300652,15.690562043623348,28.61976430547567,144.8078755061918,27.0,35.0,40.0,43.0,B1 B gap-only,43
