candidate,seed,target,kind,age_days,n,wis,ae_median,scaled_wis,scaled_ae,baseline_ae,baseline_scaled_ae,covered_50,covered_80,covered_90,covered_95
joint,42,wk inc rsv hosp,revision,11,2444,15.396504319965572,24.041234636193977,0.010017137012550872,0.013533783943658324,27.22019195556641,0.011949521116912366,0.5269086357947435,0.7359198998748435,0.797747183979975,0.8393825615352525
joint,42,wk inc rsv prop ed visits,reconstruction,4,510,0.00019073152307838483,0.0002660470801347401,0.017969355978498407,0.025203817051167504,,,0.38560000000000005,0.5704,0.6664,0.728
joint,42,wk inc rsv prop ed visits,reconstruction,11,306,0.00017377696241279754,0.00024212958564748987,0.016138450925802558,0.022742986195345018,,,0.30800000000000005,0.47733333333333333,0.5906666666666668,0.6519999999999999
joint,42,wk inc rsv prop ed visits,revision,4,2201,0.00013791419471286453,0.00018695736797595753,0.011733787493037903,0.01591655367544659,0.00024230277340393515,0.02110244520008564,0.3602827177382581,0.5502507979936161,0.6669402644778842,0.7549475604195166
joint,42,wk inc rsv prop ed visits,revision,11,2405,0.00015396515591078146,0.0002037952625997993,0.013662558923391384,0.018048909380206635,9.372131316922606e-05,0.008121032547205687,0.357488527325824,0.47972465581977475,0.5679182311222362,0.6445556946182729
joint,43,wk inc covid hosp,reconstruction,4,416,437.96698737231213,700.1442116938385,0.06552973552462216,0.10366319988557247,,,0.4004901960784314,0.6313725490196078,0.7524509803921569,0.8323529411764706
joint,43,wk inc covid hosp,reconstruction,11,312,436.1159932897281,679.250521616219,0.06479200952921214,0.10032623057896109,,,0.44313725490196076,0.6699346405228759,0.7947712418300653,0.8647058823529412
joint,43,wk inc covid hosp,revision,4,2340,61.279471375023,79.55218000844275,0.013774739954216757,0.017148977279889302,103.16523132324218,0.01844825632870197,0.18222222222222223,0.36479302832244015,0.5006535947712418,0.5917211328976034
joint,43,wk inc covid hosp,revision,11,2444,36.277239384805796,56.30313109359029,0.00861893422662709,0.011229229452123676,41.99624443054199,0.00800887867808342,0.2999582811848144,0.5259073842302878,0.6474760116812682,0.738840216937839
joint,43,wk inc covid prop ed visits,reconstruction,4,510,0.0020059074032497417,0.002835432247677818,0.06904536198959484,0.09766465916151837,,,0.21120000000000003,0.36160000000000003,0.4368000000000001,0.5136000000000001
joint,43,wk inc covid prop ed visits,reconstruction,11,306,0.0027610733795935837,0.0036228303866616142,0.09580410025676207,0.1255844154106925,,,0.08000000000000002,0.18666666666666665,0.26133333333333336,0.2906666666666667
joint,43,wk inc covid prop ed visits,revision,4,2201,0.0001882733740220697,0.0002588823449276528,0.0063657721370204284,0.0087882237870081,0.00030161879549268634,0.010220541059970858,0.338531691746466,0.5800729594163246,0.7213406292749658,0.8173278613771089
joint,43,wk inc covid prop ed visits,revision,11,2405,0.00021641443416264575,0.0002929433029923824,0.007372076104332829,0.010022658535664017,0.00017376720206812026,0.0058394677471369505,0.19607843137254904,0.49833124739257406,0.6817688777638715,0.7453483521068002
joint,43,wk inc flu hosp,reconstruction,4,782,29.91487363623255,46.06568372102821,0.00946213774186997,0.012324919320657112,,,0.23934640522875816,0.4315686274509804,0.5352941176470589,0.5807843137254902
joint,43,wk inc flu hosp,reconstruction,11,560,35.49734131585535,55.98275719411718,0.012737232096889107,0.016591600968168217,,,0.31907308377896615,0.5088057040998218,0.5679857397504458,0.6231016042780749
joint,43,wk inc flu hosp,revision,4,1818,61.92625702701469,101.28393470210987,0.015461376960013987,0.02250935699917745,220.77124938964843,0.03065193742513657,0.3911550502553963,0.7019212390838688,0.8351623002142035,0.8697248311089143
joint,43,wk inc flu hosp,revision,11,2092,24.871014683466605,37.76149266926249,0.006719198899478947,0.009117057098194284,64.90936393737793,0.009809191152453423,0.48466284074605454,0.7683668101386897,0.8234289813486371,0.8652271640363464
joint,43,wk inc flu prop ed visits,reconstruction,4,667,0.00045845553586666075,0.0006023228690786528,0.0076713354571945796,0.010024102929526683,,,0.2068627450980392,0.43137254901960786,0.5204374057315234,0.5901960784313727
joint,43,wk inc flu prop ed visits,reconstruction,11,413,0.0004122782451585601,0.0005635058315126046,0.006754321973379068,0.009187627804136358,,,0.20900000000000002,0.48200000000000004,0.5710000000000001,0.6679999999999999
joint,43,wk inc flu prop ed visits,revision,4,1888,0.0004505717395213073,0.0005899163673453114,0.0078418476054382,0.01020881249142552,0.0008036702289246023,0.013889180123806001,0.2835012327272389,0.6122232280127018,0.7428191208376967,0.8198120439606509
