config_id,seed,target,season,geography,locations,us_weight_used,n,model_wis,model_dispersion,model_underprediction,model_overprediction,model_ae_median,model_covered_50,model_covered_80,model_covered_90,model_covered_95,ensemble_wis,ensemble_dispersion,ensemble_underprediction,ensemble_overprediction,ensemble_ae_median,ensemble_covered_50,ensemble_covered_80,ensemble_covered_90,ensemble_covered_95,wis_ratio,pooled_wis_ratio,model_coverage_50,model_coverage_80,model_coverage_90,model_coverage_95,ensemble_coverage_50,ensemble_coverage_80,ensemble_coverage_90,ensemble_coverage_95
B1 B no-mask,44,wk inc flu hosp,2025-2026,states_dc,51,0.0,5712.0,333321.3339130435,101128.15999999999,127226.1739130435,104967.0,504379.0,2226.0,3682.0,4208.0,4561.0,369731.63260869565,98349.24130434783,189960.8260869565,81421.56521739133,551635.0,2996.0,4421.0,4894.0,5153.0,0.943881926715604,0.9015223597755108,0.3897058823529413,0.6446078431372548,0.7366946778711485,0.7984943977591039,0.5245098039215685,0.7739845938375353,0.8567927170868349,0.9021358543417369
B1 B no-mask,44,wk inc flu hosp,2025-2026,US,1,1.0,112.0,250270.9095652174,88564.82260869566,74414.86956521739,87291.21739130435,396302.0,69.0,91.0,99.0,108.0,312255.5904347826,84144.11217391305,154578.91304347827,73532.5652173913,469564.0,60.0,89.0,96.0,99.0,0.8014937673869724,0.8014937673869724,0.6160714285714286,0.8125,0.8839285714285714,0.9642857142857143,0.5357142857142857,0.7946428571428571,0.8571428571428571,0.8839285714285714
B1 B no-mask,44,wk inc flu prop ed visits,2025-2026,all,52,0.20000000000000007,5768.0,33.072215251314624,9.122407741992392,15.689021061256474,8.26078644806576,50.04011302227809,2053.0,3533.0,4193.0,4618.0,37.45877201101339,10.325401812514771,18.66849859592458,8.464871602574036,55.69990955372134,3123.0,4503.0,4944.0,5204.0,0.8611067879121849,0.8828964078585103,0.3758753501400561,0.6484593837535017,0.7625700280112045,0.8293767507002802,0.5629201680672271,0.7807773109243697,0.8550420168067228,0.8987394957983195
B1 B no-mask,44,wk inc flu prop ed visits,2025-2026,states_dc,51,0.0,5656.0,32.63307089281882,8.951850030231185,15.537556687075266,8.143664175512372,49.3068618911384,2000.0,3441.0,4088.0,4509.0,36.85597064220919,10.13762192450929,18.37532347670136,8.343025240998543,54.80314232063013,3048.0,4414.0,4848.0,5104.0,0.8942570079020663,0.8854215565129058,0.3515406162464987,0.6052170868347339,0.7188375350140056,0.7934173669467789,0.5362394957983193,0.7773109243697479,0.8545168067226891,0.9002100840336137
B1 B no-mask,44,wk inc flu prop ed visits,2025-2026,US,1,1.0,112.0,0.4391443584958027,0.17055771176120754,0.15146437418120712,0.11712227255338803,0.7332511311396956,53.0,92.0,105.0,109.0,0.6028013688041914,0.187779888005482,0.293175119223216,0.12184636157549342,0.8967672330912098,75.0,89.0,96.0,100.0,0.7285059079526582,0.7285059079526582,0.4732142857142857,0.8214285714285714,0.9375,0.9732142857142857,0.6696428571428571,0.7946428571428571,0.8571428571428571,0.8928571428571429
B1 B no-mask,44,wk inc rsv hosp,2025-2026,all,52,0.20000000000000007,6032.0,143797.67217391304,41110.28086956522,86595.26086956522,16092.130434782608,218278.0,2670.0,4042.0,4577.0,4936.0,174064.93092191094,53052.087440608055,105063.50795633462,15949.335524968266,270304.41698893777,2589.0,4305.0,4948.0,5364.0,0.9438621025537094,0.8261151250416064,0.43414469235970266,0.6641649763353619,0.752400270453009,0.8152467883705209,0.4406693711967547,0.7187964841108859,0.8279918864097365,0.8953684922244761
B1 B no-mask,44,wk inc rsv hosp,2025-2026,states_dc,51,0.0,5916.0,85477.35260869564,27210.135217391304,50436.65217391304,7830.565217391304,130768.0,2624.0,3968.0,4493.0,4843.0,94740.19007535864,28170.04025877443,55907.86834298157,10662.281473602627,146919.94591427944,2532.0,4219.0,4848.0,5257.0,0.9960252011598392,0.9022290597127247,0.4435429344151454,0.6707234617985126,0.7594658553076404,0.8186274509803922,0.4279918864097364,0.7131507775524004,0.8194726166328601,0.8886071670047331
B1 B no-mask,44,wk inc rsv hosp,2025-2026,US,1,1.0,116.0,58320.31956521739,13900.145652173913,36158.608695652176,8261.565217391304,87510.0,46.0,74.0,84.0,93.0,79324.7408465523,24882.04718183363,49155.63961335304,5287.05405136564,123384.47107465833,57.0,86.0,100.0,107.0,0.7352097081291904,0.7352097081291904,0.39655172413793105,0.6379310344827587,0.7241379310344828,0.8017241379310345,0.49137931034482757,0.7413793103448276,0.8620689655172413,0.9224137931034483
B1 B no-mask,44,wk inc rsv prop ed visits,2025-2026,all,51,0.2,5586.0,3.3157766438259686,1.345831651318351,1.1977513821089976,0.7721936103986201,5.013425859964627,2724.0,4315.0,4817.0,5090.0,4.530466183071355,1.2624880197885773,3.0078391522688035,0.2601390110139758,6.751646229391813,2706.0,4144.0,4680.0,5001.0,0.7997008101125567,0.7318842056951614,0.49429366284389686,0.7804309198281647,0.8772969409078296,0.9207737444416361,0.5147666229916434,0.7725612543865138,0.86154240300846,0.908627902093687
B1 B no-mask,44,wk inc rsv prop ed visits,2025-2026,states_dc,50,0.0,5475.0,3.273468790115093,1.3270312750244564,1.1865752415621937,0.759862273528443,4.944185047999781,2665.0,4223.0,4711.0,4982.0,4.481922045837205,1.2402717937371235,2.9831665685240565,0.25848368357602614,6.672332616026171,2633.0,4042.0,4572.0,4893.0,0.7817425764452728,0.7303716478414614,0.4849841956719882,0.7683314425779989,0.8578824373960482,0.907723937308802,0.47904386432514,0.7359718382534125,0.8336847605173314,0.8925416343738655
