candidate,seed,target,season,kind,age_days,geography,location,wis,ae_median,scaled_wis,scaled_ae,baseline_ae,baseline_scaled_ae,covered_50,covered_80,covered_90,covered_95,n,denominator_near_zero,mae_ratio,wis_ratio
joint,42,wk inc covid hosp,2025-2026,reconstruction,11,states_dc,AZ,15.580684746313786,18.505775451660156,0.020860470625581787,0.024776779165902943,,,0.8333333333333334,1.0,1.0,1.0,6,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,11,states_dc,CA,219.98609609963236,336.1345672607422,0.07201092456549077,0.11003132196093206,,,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,6,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,11,states_dc,CO,19.341810768790868,25.850055694580078,0.04052338416815648,0.05415892804462561,,,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,6,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,11,states_dc,CT,17.708732317357825,28.651716232299805,0.04788733321993202,0.07747896675778479,,,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.8333333333333334,6,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,11,states_dc,DC,3.429635467607042,5.207656542460124,0.04927637814289882,0.07482266131439723,,,0.3333333333333333,0.3333333333333333,0.5,0.8333333333333334,6,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,11,states_dc,DE,4.21130093190981,6.2482045491536455,0.053105941677295314,0.07879199129678131,,,0.6666666666666666,1.0,1.0,1.0,6,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,11,states_dc,FL,167.02508096777873,245.02831013997397,0.080610569810856,0.11825692037224537,,,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,6,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,11,states_dc,GA,32.57170316364454,48.46907297770182,0.031106587451316555,0.04628887380221428,,,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.8333333333333334,6,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,11,states_dc,HI,6.418232281864554,9.876493136088053,0.05893694298659593,0.09069324500982771,,,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.8333333333333334,6,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,11,states_dc,IA,13.287059955735138,19.084502538045246,0.039194881239724304,0.05629648793561983,,,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,6,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,11,states_dc,ID,7.117400366983552,12.337380727132162,0.04331954288366747,0.075090576042393,,,0.3333333333333333,0.8333333333333334,1.0,1.0,6,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,11,states_dc,IL,66.64418143728504,106.8800760904948,0.047125006178978045,0.07557635396743491,,,0.3333333333333333,0.6666666666666666,0.8333333333333334,0.8333333333333334,6,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,11,states_dc,IN,20.009991769514222,26.84557851155599,0.023469380453852273,0.031486724374937824,,,0.8333333333333334,0.8333333333333334,1.0,1.0,6,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,11,states_dc,KS,13.648095197746718,20.424779891967773,0.04324494351051053,0.06471734259214312,,,0.5,0.6666666666666666,0.6666666666666666,1.0,6,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,11,states_dc,KY,18.62030478919762,26.16137186686198,0.03971909155838679,0.05580499010283238,,,0.5,0.8333333333333334,0.8333333333333334,0.8333333333333334,6,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,11,states_dc,LA,12.638212371770885,18.886075973510742,0.03468226349376884,0.05182788862922511,,,0.6666666666666666,0.8333333333333334,0.8333333333333334,1.0,6,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,11,states_dc,MA,27.182781031511833,35.21485137939453,0.033109350779345965,0.042892626240533784,,,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,6,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,11,states_dc,MD,13.523229611714683,17.186934153238933,0.030734621280680694,0.0390612248214883,,,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,6,False,,
joint,42,wk inc covid hosp,2025-2026,reconstruction,11,states_dc,ME,3.1244633511874986,3.967057704925537,0.02726408028619205,0.03461656214528472,,,0.5,0.6666666666666666,0.8333333333333334,1.0,6,False,,
