candidate,seed,target,season,n,wis,scaled_wis,covered_50,covered_80,covered_90,covered_95
joint,44,wk inc rsv prop ed visits,2025-2026,10712,0.0005670000192420424,0.05032782567315418,0.3363601751380164,0.5722825052351038,0.6863125832857415,0.7577193984389874
separate,42,wk inc covid hosp,2025-2026,10712,266.8678714211842,0.04584492697101477,0.2716923662668951,0.5061488673139158,0.6097087378640776,0.6852655625356939
separate,42,wk inc covid prop ed visits,2025-2026,10712,0.0017031830121131317,0.05869791520274195,0.2592233009708738,0.4582333904435561,0.5475537787930707,0.608261945554921
separate,42,wk inc flu hosp,2025-2026,9880,377.5498899281921,0.062147851588381715,0.40177502579979363,0.6636326109391124,0.75234262125903,0.8048503611971104
separate,42,wk inc flu prop ed visits,2025-2026,9880,0.004303653823972913,0.07328482581816897,0.3837151702786378,0.6290402476780187,0.7282559339525284,0.7837564499484004
separate,42,wk inc rsv hosp,2025-2026,10712,110.37167043519085,0.06346893406187515,0.2866552446221207,0.5043974871501998,0.594365124690653,0.6587473824481249
separate,42,wk inc rsv prop ed visits,2025-2026,10712,0.0004430535793579369,0.039386201455323004,0.38829240434037693,0.6434037692747002,0.7350085665334094,0.7945174186179327
separate,43,wk inc covid hosp,2025-2026,10712,218.36688416100384,0.040629577385107085,0.2796306872263469,0.5170378831144108,0.6305539691604798,0.7196459166190748
separate,43,wk inc covid prop ed visits,2025-2026,10712,0.0017129700052560843,0.058761890587738216,0.28640776699029125,0.49131924614506,0.5823148676946507,0.6431182181610509
separate,43,wk inc flu hosp,2025-2026,9880,315.12658566080336,0.057504785484077114,0.444437564499484,0.6665015479876162,0.7467905056759546,0.7958513931888545
separate,43,wk inc flu prop ed visits,2025-2026,9880,0.00401085711534163,0.06831653093789239,0.33816305469556246,0.5902786377708978,0.6921155830753354,0.7685036119711042
separate,43,wk inc rsv hosp,2025-2026,10712,117.4100919712586,0.0619867563894141,0.2740529221397297,0.47123548448505626,0.5577384351798973,0.6229392727964972
separate,43,wk inc rsv prop ed visits,2025-2026,10712,0.00045041432083043085,0.03985683291040392,0.3926898914905768,0.6722444317532839,0.7643251475347421,0.8241385874738245
separate,44,wk inc covid hosp,2025-2026,10712,213.19407391006746,0.04103973141010083,0.33453264801066057,0.5854749666857035,0.6935084713497051,0.7614696363982485
separate,44,wk inc covid prop ed visits,2025-2026,10712,0.0013918721564172318,0.0477465035886358,0.3031410622501428,0.5160289358461831,0.6147534742052161,0.6742052160670093
separate,44,wk inc flu hosp,2025-2026,9880,331.401891083737,0.057663751483320605,0.4191537667698659,0.6603508771929825,0.7380392156862745,0.791124871001032
separate,44,wk inc flu prop ed visits,2025-2026,9880,0.003909594279826841,0.06651953825508151,0.3958307533539732,0.6608462332301341,0.7590505675954593,0.8217131062951497
separate,44,wk inc rsv hosp,2025-2026,10712,137.4959611421297,0.0685354127405806,0.2962116885589187,0.5048924424138588,0.5801066057490958,0.6320197982105464
separate,44,wk inc rsv prop ed visits,2025-2026,10712,0.0006123106257045286,0.055020814130593614,0.2719969541214544,0.5022272986864649,0.6066247858366649,0.6885779554540263
