label,target,season,geography,horizon,wis_mean,wis_std,wis_ratio_mean,wis_ratio_std,bias_mean,bias_std,interval_coverage_50_mean,interval_coverage_50_std,interval_coverage_95_mean,interval_coverage_95_std,dispersion_mean,dispersion_std,underprediction_mean,underprediction_std,overprediction_mean,overprediction_std
anchor,wk inc covid hosp,2025-2026,US,0,272.87770370370373,25.31224959914761,0.8960439116849241,0.08311740694282874,0.05074074074074073,0.09689203188921881,0.5481481481481482,0.25272180902565905,0.9259259259259259,0.07143445008142921,95.70140740740742,37.23644599233282,94.90074074074074,47.872796127378,82.27555555555556,18.21353017625857
anchor,wk inc covid hosp,2025-2026,US,1,488.1156818181818,56.248681461130296,0.9786719845415536,0.1127786112266626,-2.7755575615628914e-17,0.09050335594891784,0.4318181818181818,0.1803921348453131,0.9015151515151514,0.09462118179391511,134.6762878787879,35.709743436610395,198.08939393939394,62.50255967210252,155.35,35.966377492282355
anchor,wk inc covid hosp,2025-2026,US,2,662.2885271317829,61.28320340690843,0.9302041110551809,0.08607409824025838,-0.04108527131782943,0.10935385557548025,0.46511627906976744,0.08056050267762224,0.8992248062015503,0.07475698264335619,181.37844961240307,30.90688244017084,272.35348837209307,65.30549982346875,208.5565891472868,36.24385181880897
anchor,wk inc covid hosp,2025-2026,US,3,780.2933333333334,49.50116112555111,0.8921935803648561,0.05660001987734075,-0.09880952380952375,0.08751417118804339,0.5079365079365079,0.03636964837266546,0.9126984126984127,0.0687321749035269,233.2425396825397,23.774087916358095,302.1920634920634,59.73985503554078,244.85873015873017,24.22172912394141
anchor,wk inc covid hosp,2025-2026,US,all,546.0190421455937,47.58940357361265,0.9224299298734882,0.08039626242453192,-0.020881226053639835,0.09164654651334733,0.48850574712643674,0.1380507143616588,0.9099616858237548,0.07653250710895854,159.92977011494256,31.946166129297612,214.88352490421457,58.529339148829884,171.2057471264368,28.43233095473565
anchor,wk inc covid hosp,2025-2026,states_dc,0,9.300228031953523,0.891018967097352,1.0341283033338433,0.0990758430349058,-0.020631808278867066,0.02202941906349746,0.30297748729121277,0.09956625650143433,0.6801742919389978,0.1396539652203123,2.1334596949891065,0.77801614658944,4.081423384168482,0.952774262909598,3.0853449527959333,0.7242683087819712
anchor,wk inc covid hosp,2025-2026,states_dc,1,13.411688948306596,1.2098827897245208,1.1005212256913566,0.09927919561977501,-0.0349227569815805,0.043813440412035415,0.2951574569221628,0.0653506989189683,0.7176173499702911,0.10857478324332531,2.937654486036839,0.7434200192028536,6.273202614379085,0.9806799825971414,4.200831847890671,1.0131832683164288
anchor,wk inc covid hosp,2025-2026,states_dc,2,16.897960176318588,1.302107675433719,1.0259695764004482,0.07905823225129353,-0.04474844201246387,0.055430461217158,0.3398692810457516,0.058398399651124214,0.7682018543851649,0.07916539696759987,3.8701747986016106,0.6517689903225632,8.032892536859704,0.9481505133252037,4.994892840857273,1.0602565484177109
anchor,wk inc covid hosp,2025-2026,states_dc,3,19.510939931528167,1.0908156459229312,0.9937632296208262,0.055559213601063716,-0.0447634609399315,0.06370950031337026,0.3685029567382509,0.04549445939759853,0.8031434796140678,0.059114285444203434,4.868394024276377,0.5362530254803954,9.10326797385621,0.7748210557794354,5.5392779333955815,0.8679593238355029
anchor,wk inc covid hosp,2025-2026,states_dc,all,14.682162872811963,1.1188600491820377,1.0327285861731708,0.07869949180696645,-0.03603035083765303,0.044628812854028595,0.3259334385095034,0.06673775195641381,0.7410788070017279,0.09711170881335174,3.426164074825332,0.6738822087952655,6.824348283374653,0.9128066903211254,4.431650514611975,0.9143599921287218
