target,season,model,geography,horizon,n,wis,ae_median,interval_coverage_50,interval_coverage_95,underprediction,dispersion,overprediction,bias,rwis,rwis_n,wis_ratio,rank
wk inc flu hosp,2023-2024,B0-2a157841d7e4-s42,states_dc,all,6114,30.49464436574647,46.37585868498528,0.433922145894668,0.8534510958456003,8.215129922771684,11.116638079390139,11.162876363584646,0.05371442590775271,1.0899483609149292,6114,0.8594044287531062,3.0
wk inc flu hosp,2023-2024,B0-323fbd9b1c6f-s42,states_dc,all,6114,30.49464436574647,46.37585868498528,0.433922145894668,0.8534510958456003,8.215129922771684,11.116638079390139,11.162876363584646,0.05371442590775271,1.0899483609149292,6114,0.8594044287531062,3.0
wk inc flu hosp,2023-2024,B0-323fbd9b1c6f-s43,states_dc,all,6114,30.000521682240333,45.86162904808636,0.5251880929015375,0.9249263984298332,6.887478488429977,14.63262761161127,8.480415582199086,0.09760222440300949,1.1722510396425523,6114,0.8454789926188341,1.0
wk inc flu hosp,2023-2024,B0-323fbd9b1c6f-s44,states_dc,all,6114,30.129612080613278,46.366208701341186,0.4210009813542689,0.8578671900556101,9.038585712050745,10.834245779465515,10.256780589097012,0.05243048740595354,1.015332285456985,6114,0.8491170366878388,2.0
wk inc flu hosp,2023-2024,B0-41878487e0fd-s42,states_dc,all,6114,33.296250942242324,50.043670264965655,0.3994111874386654,0.8025842329080798,8.457503093399325,10.503508697074427,14.335239151768572,0.082747791952895,1.2218524848543746,6114,0.9383597059679099,7.0
wk inc flu hosp,2023-2024,B0-4d0946a0dfcf-s42,states_dc,all,6114,34.89762654492185,52.820412168792934,0.3395485770363101,0.7538436375531566,9.758615294904068,11.208061611981055,13.930949638036724,0.058729146221786065,1.2165334407076518,6114,0.9834899022257756,10.0
wk inc flu hosp,2023-2024,B0-8afe05f2b10e-s42,states_dc,all,6114,36.14214077455875,57.04546941445862,0.3488714425907753,0.8292443572129539,17.62655914437286,11.371094992248723,7.144486637937165,-0.1653467451750082,1.1547638967938731,6114,1.0185629802314857,12.0
wk inc flu hosp,2023-2024,B0-96f18bffffa1-s42,states_dc,all,6114,33.55175505966349,51.47759241086032,0.3756951259404645,0.7983316977428851,11.591294392058144,11.976766793247144,9.983693874358208,-0.045143931959437354,1.1871970771328633,6114,0.9455603595463806,9.0
wk inc flu hosp,2023-2024,B0-96f18bffffa1-s43,states_dc,all,6114,46.71949090469486,71.16781157998037,0.37455021262675825,0.80732744520772,3.553256247244386,18.11358286754562,25.052651789904854,0.32107294733398756,1.7776100777986437,6114,1.316655374334692,16.0
wk inc flu hosp,2023-2024,B0-96f18bffffa1-s44,states_dc,all,6114,41.44272368477194,62.60762185148839,0.3593392214589467,0.7903173045469415,6.170968980671588,15.594570479725789,19.677184224374567,0.18695616617598954,1.5320081740543203,6114,1.1679447658779876,15.0
wk inc flu hosp,2023-2024,B0-b1e265a36c11-s42,states_dc,all,6114,33.31945861956166,50.14196925089958,0.4556754988550867,0.858684985279686,7.32955725277695,13.081487320618397,12.908414046166316,0.08436702649656527,1.3294204536432799,6114,0.9390137480492043,8.0
wk inc flu hosp,2023-2024,B0-c20800f1557e-s42,states_dc,all,6114,33.055160145638666,50.52993130520118,0.4573110893032385,0.8876349362119725,10.204121687929343,15.125348309652827,7.725690148056492,-0.04903990840693489,1.2426558696366685,6114,0.9315652506580611,6.0
wk inc flu hosp,2023-2024,B0-fa4e4645314c-s42,states_dc,all,6114,39.36933815476953,58.83693163231927,0.40039254170755645,0.8110893032384691,5.164711069391703,15.55530478872438,18.649322296653438,0.2209764474975466,1.5363285444897032,6114,1.1095123183430953,13.0
wk inc flu hosp,2023-2024,B0-fa4e4645314c-s43,states_dc,all,6114,32.076844234899234,48.209028459273796,0.34543670264965654,0.7751063133791298,11.592033963391215,10.226678542475574,10.25813172903244,0.006408243375858686,1.238506815545817,6114,0.9039942117462743,5.0
wk inc flu hosp,2023-2024,B0-fa4e4645314c-s44,states_dc,all,6114,40.360037120791915,60.973012757605495,0.375204448806019,0.7968596663395485,4.552758458847122,15.844420787643468,19.96285787430132,0.25822865554465163,1.4971167238331011,6114,1.1374323382898477,14.0
wk inc flu hosp,2023-2024,FluSight-ensemble,states_dc,all,6114,35.48346197143827,55.00744437282081,0.4869152764147857,0.9185475956820413,16.786547974344604,12.329475165565034,6.367438831528624,-0.10139842983316982,1.0,6114,1.0,11.0
wk inc flu hosp,2024-2025,B0-2a157841d7e4-s42,states_dc,all,5508,74.26894943323545,113.7220406681191,0.5214233841684822,0.9286492374727668,30.596618357487923,30.837726863692332,12.834604212055192,-0.08757806826434276,1.1480107843845033,5508,0.7498547858270259,1.0
wk inc flu hosp,2024-2025,B0-323fbd9b1c6f-s42,states_dc,all,5508,74.26894943323545,113.7220406681191,0.5214233841684822,0.9286492374727668,30.596618357487923,30.837726863692332,12.834604212055192,-0.08757806826434276,1.1480107843845033,5508,0.7498547858270259,1.0
