target,season,geography,horizon,wis_mean,wis_std,wis_ratio_mean,wis_ratio_std,bias_mean,bias_std,interval_coverage_50_mean,interval_coverage_50_std,interval_coverage_95_mean,interval_coverage_95_std,dispersion_mean,dispersion_std,underprediction_mean,underprediction_std,overprediction_mean,overprediction_std,candidate,control
wk inc flu prop ed visits,2025-2026,US,2,0.003358986348591266,0.00042336643713097465,0.5572509613087614,0.07023587761112272,0.37916666666666665,0.07225709954996914,-0.2738095238095238,0.05455447255899814,-0.6904761904761906,0.0743452142666476,-0.0009011479051079333,0.0001734142605159371,0.0017653370493846002,0.00044802291235240837,0.002494797204314733,0.0005590631928758283,state_us,anchor
wk inc flu prop ed visits,2025-2026,US,3,0.003490710349200267,0.0005596047777439804,0.5248357654679082,0.08413777498153542,0.2803571428571428,0.04913148747213418,-0.2261904761904762,0.05455447255899807,-0.5476190476190478,0.08987898137227081,-0.0009201428388381335,0.0001958924973690192,0.0014703737055900999,0.0005727593067827483,0.002940479482448367,0.0007379124150608339,state_us,anchor
wk inc flu prop ed visits,2025-2026,US,all,0.002796692798352334,0.0002725014078549147,0.5713366753586713,0.05566934219093751,0.33928571428571425,0.07107613947057631,-0.3541666666666667,0.0670138705309387,-0.6517857142857143,0.023622779563076735,-0.0008447697392399001,0.0001617746715504471,0.0014816222283077667,0.0003382778954409944,0.0021598403092844332,0.0004446962651897228,state_us,anchor
wk inc flu prop ed visits,2025-2026,states_dc,0,-7.192538052546678e-05,1.939125525786044e-05,-0.022651201635966456,0.006106818338840943,0.031699346405228764,0.059802448966928,0.044817927170868334,0.012855433999079744,0.03641456582633044,0.028881779590057916,8.460263918863332e-05,4.486080360706287e-05,-8.207812315663337e-05,0.00012883235728877694,-7.44498965574333e-05,0.00011175940910607093,state_us,anchor
wk inc flu prop ed visits,2025-2026,states_dc,1,-0.00023406946134443309,8.656869571040411e-05,-0.042745516420366204,0.015809083264106988,0.003711484593837531,0.03957594191604299,0.026610644257703025,0.014755817581026277,0.05648926237161537,0.0258851165253912,0.00011241700717726667,6.453174046180322e-05,-0.00013415581750043305,0.0001632401245005561,-0.00021233065102123325,0.00016654381739223087,state_us,anchor
wk inc flu prop ed visits,2025-2026,states_dc,2,-0.0004261889908482999,0.00011642536592888383,-0.05850503320464721,0.015982275576791303,-0.009571428571428566,0.024228846233279786,0.029047619047619034,0.016056871714368946,0.062380952380952426,0.01917073307942916,0.00014824080458526658,7.426756477684489e-05,-0.00019720683210313334,0.0001685190950015794,-0.00037722296333046664,0.00018121418669268135,state_us,anchor
wk inc flu prop ed visits,2025-2026,states_dc,3,-0.0005528190330097669,0.00010485553200411875,-0.0677390936372008,0.012848361356400665,-0.022511904761904802,0.013420511132129859,0.033809523809523845,0.008028435857184454,0.07261904761904754,0.02715538557977762,0.00018436391719056674,7.04034759183316e-05,-0.00023846900222473382,0.000133967815147177,-0.0004987139479755667,0.0001670102619094741,state_us,anchor
wk inc flu prop ed visits,2025-2026,states_dc,all,-0.00031958484221913307,7.970025340572548e-05,-0.0531984929942216,0.013267003976152143,0.000998939179632231,0.03411024939995985,0.033592644978783594,0.01253310367641248,0.05687175860443187,0.024374727549744863,0.00013207048541310002,6.314905041089174e-05,-0.00016243427074206685,0.00014755905221362038,-0.0002892210568901667,0.00015508344121687578,state_us,anchor
wk inc rsv hosp,2025-2026,US,0,80.29126436781614,54.1488753887468,0.22252503144596114,0.15007211922140562,-0.18275862068965523,0.12586206896551722,-0.1149425287356322,0.15549137078699637,-0.13793103448275865,0.09123280382981348,-22.375402298850574,12.457903795733442,107.3287356321839,62.18637184657383,-4.66206896551724,1.5847219435994342,state_us,anchor
wk inc rsv hosp,2025-2026,US,1,97.44804597701155,64.39017859091159,0.20605248122407058,0.1361520996352077,-0.07701149425287361,0.06566076234292915,-0.02298850574712641,0.05267328385006714,-0.22988505747126445,0.14356317237697463,-33.45770114942529,11.262119339865242,135.88735632183912,72.64592230638098,-4.981609195402299,3.489153114581773,state_us,anchor
