name,coverage_50,coverage_95,dispersion,wis,under,over,sharpness,bias,combined_mean,combined_sd,rank
joint_multiscale__width_128,40.65512614565368,83.39056056726096,1367820.4002041332,4779541.985454058,1723111.8415986034,1688609.7436513219,0.28618231712723197,-0.007218703811428877,1.2735873242418856,0.068986166431119,120.0
joint_trend,18.004247991239332,37.364744535770924,185503.93439518777,17718754.069948368,16755930.645251116,777319.4903020635,0.010469355444681576,-0.901790898607783,4.104312265426756,0.8116126282990558,164.0
joint_trend__annual_calendar_False,19.530414023230602,40.64718068915782,187114.02431506343,16399133.442724574,15788254.986659888,423764.43174961983,0.011409994617616579,-0.9369086853626817,3.5784584987789043,0.4356971940382738,157.0
joint_trend__count_transform_log1p,35.91395807254327,77.27731528270418,1585549.041457657,5837929.622410227,2006115.638528192,2246264.942424378,0.2715944082935095,0.041136039560038196,1.5981078502259116,0.480486855998337,142.0
joint_trend__count_transform_log1p__ed_transform_fourth_root,38.89698982016724,81.80094112778694,1317537.9803315182,4908183.143719592,2107736.5582124772,1482908.6051755964,0.2684370044376629,-0.12730330852392857,1.2728483539375766,0.1535683311028509,119.0
joint_trend__count_transform_log1p__ed_transform_linear,38.50282056778473,80.63346172354451,1151721.9074046174,4516805.318065193,2382674.2931243074,982409.1175362673,0.2549859527481176,-0.31001229342066355,1.0511445166226696,0.1368033703760867,67.0
joint_trend__count_transform_sqrt,38.65041766163406,80.64856266207788,1263834.078223864,5760928.777504574,1707210.9881235892,2789883.7111571203,0.2193802643696823,0.1879337108386377,1.559488847544617,0.1549495125225894,141.0
joint_trend__count_transform_sqrt__ed_transform_fourth_root,39.90614177845697,82.4081464869996,1079638.5273210015,4395661.445761065,2031388.603950669,1284634.314489395,0.2456145771558785,-0.16988439593804547,1.1004060068007908,0.172099674822078,79.0
joint_trend__count_transform_sqrt__ed_transform_linear,39.22989626778693,81.60627379507928,1138675.3817302762,4584258.8034468535,1897998.7701712132,1547584.6515453635,0.24838811039073944,-0.07643855498785915,1.0699866150097264,0.1433241754523176,73.0
joint_trend__dynamics_False,24.309173953781706,50.36045800033553,656799.4953934457,12904089.067418866,11208018.45826709,1039271.1137583298,0.05089855564092303,-0.7880251981663329,3.060957944980851,1.0179391110433964,150.0
joint_trend__ed_transform_fourth_root,20.687144754411612,41.75862191518904,393521.1398230075,14795048.882026551,14190294.353255942,211233.38894760062,0.026598164221077244,-0.9448472307036785,3.4740091647711004,0.779166672326048,153.0
